provider,state,zipcode,planid,Enroll_Fee,TelaDoc_Fee,RxAdvocacy_Fee,Chiro_Fee,Freedom_Elite_Fee,NCE_Fee,VBP_Fee,AHI_duration,AHI_rate,PL_duration,PL_rate,Expected_Rate,Diff,PLID
AdvantHealth,al,35215,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ak,99504,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,ar,72209,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,az,85364,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ca,90011,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,co,80219,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ct,6606,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,de,19805,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,dc,20015,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,fl,33186,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,ga,30044,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,hi,96818,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ia,50317,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,id,83709,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,il,60629,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,in,46227,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
