provider,state,zipcode,planid,Enroll_Fee,TelaDoc_Fee,RxAdvocacy_Fee,Chiro_Fee,Freedom_Elite_Fee,Medsense_Fee,VBP_Fee,AHI_duration,AHI_rate,PL_duration,PL_rate,Expected_Rate,Diff,PLID
LifeShield,al,35215,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ak,99504,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,ar,72209,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,az,85364,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ca,90011,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,co,80219,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ct,6606,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,de,19805,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,dc,20015,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,fl,33186,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,ga,30044,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,hi,96818,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ia,50317,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,id,83709,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,il,60629,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,in,46227,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ks,66062,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,ky,40214,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,la,70816,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ma,2128,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,md,21215,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,me,4401,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,mi,48228,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,mn,55106,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,mo,63129,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,ms,39503,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,mt,59102,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,nc,28269,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,nd,58103,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ne,68104,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,nh,3103,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,nj,8701,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,nm,87121,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,nv,89110,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ny,11226,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,oh,43228,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
