"state","state1","zip","DOB","uri","state2","UW"
"##Alabama","AL","35215","03/06/1980","${uri}","al","tristar"
"##Alaska","AK","99504","03/06/1980","${uri}","ak","tristar"
"##Arkansas","AR","72209","03/06/1980","${uri}","ar","tristar"
"##Arizona","AZ","85364","03/06/1980","${uri}","az","tristar"
"##California","CA","90011","03/06/1980","${uri}","ca","tristar"
"##Colorado","CO","80219","03/06/1980","${uri}","co","tristar"
"##Connecticut","CT","06606","03/06/1980","${uri}","ct","tristar"
"##Delaware","DE","19805","03/06/1980","${uri}","de","tristar"
"District Of Columbia","DC","20015","03/06/1980","${uri}","dc","tristar"
"Florida","FL","33186","03/06/1980","${uri}","fl","tristar"
"##Georgia","GA","30044","03/06/1980","${uri}","ga","tristar"
"##Hawaii","HI","96818","03/06/1980","${uri}","hi","tristar"
"Iowa","IA","50317","03/06/1980","${uri}","ia","tristar"
"##Idaho","ID","83709","03/06/1980","${uri}","id","tristar"
"##Illinois","IL","60629","03/06/1980","${uri}","il","tristar"
"##Indiana","IN","46227","03/06/1980","${uri}","in","tristar"
"##Kansas","KS","66062","03/06/1980","${uri}","ks","tristar"
"##Kentucky","KY","40214","03/06/1980","${uri}","ky","tristar"
"Louisiana","LA","70816","03/06/1980","${uri}","la","tristar"
"##Massachusetts","MA","02128","03/06/1980","${uri}","ma","tristar"
"##Maryland","MD","21215","03/06/1980","${uri}","md","tristar"
"##Maine","ME","04401","03/06/1980","${uri}","me","tristar"
"Michigan","MI","48228","03/06/1980","${uri}","mi","tristar"
"##Minnesota","MN","55106","03/06/1980","${uri}","mn","tristar"
"##Missouri","MO","63129","03/06/1980","${uri}","mo","tristar"
"##Mississippi","MS","39503","03/06/1980","${uri}","ms","tristar"
"##Montana","MT","59102","03/06/1980","${uri}","mt","tristar"
"##North Carolina","NC","28269","03/06/1980","${uri}","nc","tristar"
"##North Dakota","ND","58103","03/06/1980","${uri}","nd","tristar"
"##Nebraska","NE","68104","03/06/1980","${uri}","ne","tristar"
"##New Hampshire","NH","03103","03/06/1980","${uri}","nh","tristar"
"##New Jersey","NJ","08701","03/06/1980","${uri}","nj","tristar"
"##New Mexico","NM","87121","03/06/1980","${uri}","nm","tristar"
"##Nevada","NV","89110","03/06/1980","${uri}","nv","tristar"
"##New York","NY","11226","03/06/1980","${uri}","ny","tristar"
"##Ohio","OH","43228","03/06/1980","${uri}","oh","tristar"
"##Oklahoma","OK","73160","03/06/1980","${uri}","ok","tristar"
"##Oregon","OR","97229","03/06/1980","${uri}","or","tristar"
"##Pennsylvania","PA","19120","03/06/1980","${uri}","pa","tristar"
"##Rhode Island","RI","02909","03/06/1980","${uri}","ri","tristar"
"South Carolina","SC","29223","03/06/1980","${uri}","sc","tristar"
"##South Dakota","SD","57106","03/06/1980","${uri}","sd","tristar"
"Tennessee","TN","37013","03/06/1980","${uri}","tn","tristar"
"##Texas","TX","79936","03/06/1980","${uri}","tx","tristar"
"##Utah","UT","84120","03/06/1980","${uri}","ut","tristar"
"##Virginia","VA","23464","03/06/1980","${uri}","va","tristar"
"##Vermont","VT","05401","03/06/1980","${uri}","vt","tristar"
"##Washington","WA","98115","03/06/1980","${uri}","wa","tristar"
"##Wisconsin","WI","53215","03/06/1980","${uri}","wi","tristar"
"West Virginia","WV","25302","03/06/1980","${uri}","wv","tristar"
"Wyoming","WY","82001","03/06/1980","${uri}","wy","tristar"
