"state","state1","zipcode","planCount","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","unitedhealthone","AdvantHealth","PLID"
"Alabama","AL","35215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##Alaska","AK","99504","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Arkansas","AR","72209","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Arizona","AZ","85364","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##California","CA","90011","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Colorado","CO","80219","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Connecticut","CT","06606","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Delaware","DE","19805","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"District Of Columbia","DC","20015","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Florida","FL","33186","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Georgia","GA","30044","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Hawaii","HI","96818","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
