state,zipcode,planid,premium,duration,extendedInfo/pre-ex,uri,status,carrierid,finalPrice,,PLID
al,35215,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ak,99504,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ar,72209,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##az,85364,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ca,90011,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##co,80219,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ct,6606,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##de,19805,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##dc,20015,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##fl,33186,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ga,30044,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##hi,96818,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ia,50317,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##id,83709,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##il,60629,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##in,46227,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ks,66062,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ky,40214,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##la,70816,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ma,2128,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##md,21215,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##me,4401,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##mi,48228,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##mn,55106,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##mo,63129,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ms,39503,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##mt,59102,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##nc,28269,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##nd,58103,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ne,68104,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##nh,3103,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##nj,8701,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##nm,87121,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##nv,89110,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ny,11226,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##oh,43228,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ok,73160,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##or,97229,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##pa,19120,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ri,2909,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##sc,29223,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##sd,57106,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##tn,37013,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##tx,79936,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##ut,84120,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##va,23464,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##vt,5401,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##wa,98115,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##wi,53215,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##wv,25302,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
##wy,82001,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,tristar
