"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"al","35215","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ak","99504","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ar","72209","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##az","85364","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ca","90011","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##co","80219","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ct","6606","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##de","19805","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##dc","20015","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##fl","33186","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ga","30044","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##hi","96818","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ia","50317","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##id","83709","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##il","60629","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##in","46227","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ks","66062","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ky","40214","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##la","70816","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ma","2128","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
