"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"al","35215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ak","99504","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"ar","72209","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"az","85364","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ca","90011","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##co","80219","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ct","06606","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##de","19805","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##dc","20015","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##fl","33186","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"ga","30044","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##hi","96818","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ia","50317","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##id","83709","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##il","60629","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
