"state","state1","zip","uri","quote_P","confirm_P","start","DOB","dental_collapse","dental_Protector","denta_Guardian","Vision"
"##Alabama","AL","35215","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Alabama","AL","35215","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Alaska","AK","99504","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Alaska","AK","99504","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Arkansas","AR","72209","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Arkansas","AR","72209","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Arizona","AZ","85364","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##California","CA","90011","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Colorado","CO","80219","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Connecticut","CT","06606","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Delaware","DE","19805","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##District Of Columbia","DC","20015","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Florida","FL","33186","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Georgia","GA","30044","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Hawaii","HI","96818","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Iowa","IA","50317","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Idaho","ID","83709","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Illinois","IL","60629","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Indiana","IN","46227","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Kansas","KS","66062","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Kentucky","KY","40214","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Louisiana","LA","70816","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Massachusetts","MA","02128","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Maryland","MD","21215","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Maine","ME","04401","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Michigan","MI","48228","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Minnesota","MN","55106","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Missouri","MO","63129","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Mississippi","MS","39503","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Montana","MT","59102","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##North Carolina","NC","28269","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##North Dakota","ND","58103","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Nebraska","NE","68104","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##New Hampshire","NH","03103","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##New Jersey","NJ","08701","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##New Mexico","NM","87121","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Nevada","NV","89110","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##New York","NY","11226","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Ohio","OH","43228","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Oklahoma","OK","73160","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Oregon","OR","97229","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Pennsylvania","PA","19120","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Rhode Island","RI","02909","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##South Carolina","SC","29223","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##South Dakota","SD","57106","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
"##Tennessee","TN","37013","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","",""
