"state","state1","state2","zip","Quote_p","Final_p","uri","Status"
"##Alabama","AL","al","35215","${mon}","${conf_mon}","${uri}","${status}"
"##Alaska","AK","ak","99504","${mon}","${conf_mon}","${uri}","${status}"
"##Arkansas","AR","ar","72209","${mon}","${conf_mon}","${uri}","${status}"
"##Arizona","AZ","az","85364","${mon}","${conf_mon}","${uri}","${status}"
"##California","CA","ca","90011","${mon}","${conf_mon}","${uri}","${status}"
"##Colorado","CO","co","80219","${mon}","${conf_mon}","${uri}","${status}"
"##Connecticut","CT","ct","6606","${mon}","${conf_mon}","${uri}","${status}"
"##Delaware","DE","de","19805","${mon}","${conf_mon}","${uri}","${status}"
"##District Of Columbia","DC","dc","20015","${mon}","${conf_mon}","${uri}","${status}"
"##Florida","FL","fl","33186","${mon}","${conf_mon}","${uri}","${status}"
"##Georgia","GA","ga","30044","${mon}","${conf_mon}","${uri}","${status}"
"##Hawaii","HI","hi","96818","${mon}","${conf_mon}","${uri}","${status}"
"##Iowa","IA","ia","50317","${mon}","${conf_mon}","${uri}","${status}"
"##Idaho","ID","id","83709","${mon}","${conf_mon}","${uri}","${status}"
"##Illinois","IL","il","60629","${mon}","${conf_mon}","${uri}","${status}"
"##Indiana","IN","in","46227","${mon}","${conf_mon}","${uri}","${status}"
"##Kansas","KS","ks","66062","${mon}","${conf_mon}","${uri}","${status}"
"##Kentucky","KY","ky","40214","${mon}","${conf_mon}","${uri}","${status}"
"##Louisiana","LA","la","70816","${mon}","${conf_mon}","${uri}","${status}"
"##Massachusetts","MA","ma","2128","${mon}","${conf_mon}","${uri}","${status}"
"##Maryland","MD","md","21215","${mon}","${conf_mon}","${uri}","${status}"
"##Maine","ME","me","4401","${mon}","${conf_mon}","${uri}","${status}"
"##Michigan","MI","mi","48228","${mon}","${conf_mon}","${uri}","${status}"
"##Minnesota","MN","mn","55106","${mon}","${conf_mon}","${uri}","${status}"
"##Missouri","MO","mo","63129","${mon}","${conf_mon}","${uri}","${status}"
"##Mississippi","MS","ms","39503","${mon}","${conf_mon}","${uri}","${status}"
"##Montana","MT","mt","59102","${mon}","${conf_mon}","${uri}","${status}"
"##North Carolina","NC","nc","28269","${mon}","${conf_mon}","${uri}","${status}"
"##North Dakota","ND","nd","58103","${mon}","${conf_mon}","${uri}","${status}"
"##Nebraska","NE","ne","68104","${mon}","${conf_mon}","${uri}","${status}"
"##New Hampshire","NH","nh","3103","${mon}","${conf_mon}","${uri}","${status}"
"New Jersey","NJ","nj","08701","${mon}","${conf_mon}","${uri}","${status}"
"##New Mexico","NM","nm","87121","${mon}","${conf_mon}","${uri}","${status}"
"##Nevada","NV","nv","89110","${mon}","${conf_mon}","${uri}","${status}"
"##New York","NY","ny","11226","${mon}","${conf_mon}","${uri}","${status}"
"##Ohio","OH","oh","43228","${mon}","${conf_mon}","${uri}","${status}"
"##Oklahoma","OK","ok","73160","${mon}","${conf_mon}","${uri}","${status}"
"##Oregon","OR","or","97229","${mon}","${conf_mon}","${uri}","${status}"
"##Pennsylvania","PA","pa","19120","${mon}","${conf_mon}","${uri}","${status}"
"##Rhode Island","RI","ri","2909","${mon}","${conf_mon}","${uri}","${status}"
"##South Carolina","SC","sc","29223","${mon}","${conf_mon}","${uri}","${status}"
"##South Dakota","SD","sd","57106","${mon}","${conf_mon}","${uri}","${status}"
"##Tennessee","TN","tn","37013","${mon}","${conf_mon}","${uri}","${status}"
"##Texas","TX","tx","79936","${mon}","${conf_mon}","${uri}","${status}"
"##Utah","UT","ut","84120","${mon}","${conf_mon}","${uri}","${status}"
"##Virginia","VA","va","23464","${mon}","${conf_mon}","${uri}","${status}"
"##Vermont","VT","vt","05401","${mon}","${conf_mon}","${uri}","${status}"
"##Washington","WA","wa","98115","${mon}","${conf_mon}","${uri}","${status}"
"##Wisconsin","WI","wi","53215","${mon}","${conf_mon}","${uri}","${status}"
"##West Virginia","WV","wv","25302","${mon}","${conf_mon}","${uri}","${status}"
"##Wyoming","WY","wy","82001","${mon}","${conf_mon}","${uri}","${status}"
