"state","zipcode","carrierid","uri","AutoEmail","DOB","productId"
"##IL","60001","slaico","${uri}","${AutoEmail}","",""
"##AL","32099","slaico","${uri}","${AutoEmail}","",""
"##AR","71601","carrier-slaico-","${uri}","${AutoEmail}","",""
"##AZ","85005","carrier-slaico-","${uri}","${AutoEmail}","",""
"##DE","19702","carrier-slaico-","${uri}","${AutoEmail}","",""
"##FL","32099","carrier-slaico-","${uri}","${AutoEmail}","01/01/1985","standard-life-select-stm-plan-2"
"##IA","50010","carrier-slaico-","${uri}","${AutoEmail}","",""
"##ID","83709","carrier-slaico-","${uri}","${AutoEmail}","",""
"##IN","46001","carrier-slaico-","${uri}","${AutoEmail}","",""
"##KS","66606","carrier-slaico-","${uri}","${AutoEmail}","",""
"##KY","40011","carrier-slaico-","${uri}","${AutoEmail}","",""
"##LA","70062","carrier-slaico-","${uri}","${AutoEmail}","",""
"##MS","38618","carrier-slaico-","${uri}","${AutoEmail}","",""
"##ND","58017","carrier-slaico-","${uri}","${AutoEmail}","",""
"##NV","89001","carrier-slaico-","${uri}","${AutoEmail}","",""
"##OH","43011","carrier-slaico-","${uri}","${AutoEmail}","",""
"##OK","73010","carrier-slaico-","${uri}","${AutoEmail}","",""
"##PA","15001","carrier-slaico-","${uri}","${AutoEmail}","",""
"SC","29010","carrier-slaico-","${uri}","${AutoEmail}","","standard-life-select-stm-plan-2"
"##TN","37014","carrier-slaico-","${uri}","${AutoEmail}","",""
"##TX","77566","carrier-slaico-","${uri}","${AutoEmail}","",""
"##VA","22027","carrier-slaico-","${uri}","${AutoEmail}","",""
"##WV","24701","carrier-slaico-","${uri}","${AutoEmail}","",""
"##WY","82001","carrier-slaico-","${uri}","${AutoEmail}","",""
