"state","zipcode","carrierid","uri","AutoEmail","status"
"AL","35215","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##AK","99504","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##AR","72209","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##AZ","85364","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##CA","90011","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##CO","80219","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##CT","06606","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##DE","19805","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##DC","20015","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##FL","33186","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##GA","30044","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##HI","96818","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##IA","50317","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##ID","83709","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##IL","60629","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##IN","46227","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##KS","66062","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##KY","40214","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##LA","70816","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MA","02128","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MD","21215","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##ME","04401","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MI","48228","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MN","55106","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MO","63129","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MS","39503","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##MT","59102","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NC","28269","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##ND","58103","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NE","68104","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NH","03103","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NJ","08701","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NM","87121","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NV","89110","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##NY","11226","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##OH","43228","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##OK","73160","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##OR","97229","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##PA","19120","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##RI","2909","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##SC","29223","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##SD","57106","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##TN","37230","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##TX","79936","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##UT","84120","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##VA","23464","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##VT","05401","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##WA","98115","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##WI","53215","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##WV","25302","unitedhealthone","${uri}","${AutoEmail}","${status}"
"##WY","82001","unitedhealthone","${uri}","${AutoEmail}","${status}"
