"state","zipcode","carrierid","uri","AutoEmail","status","extended","dob"
"##AL","35112","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##OK","73160","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##PA","19120","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"SC","29223","nationalgeneral","${uri}","${AutoEmail}","Avoid gaps in your coverage. Get 1 consecutive policies with OneClick.","${extended}","05/11/1988"
"SC","29223","nationalgeneral","${uri}","${AutoEmail}","Avoid gaps in your coverage. Get an additional policy with OneClick.","${extended}","08/11/1988"
"SC","29223","nationalgeneral","${uri}","${AutoEmail}","Avoid gaps in your coverage. Get 3 consecutive policies with OneClick.","${extended}","11/11/1988"
"SC","29223","nationalgeneral","${uri}","${AutoEmail}","Avoid gaps in your coverage. Get 4 consecutive policies with OneClick.","${extended}","11/12/1989"
"##TX","79936","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##VA","23464","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##WI","53215","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##AR","72209","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##AZ","85264","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##DC","20015","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##GA","30044","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##HI","96818","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##ID","83709","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##IL","60629","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##MI","48228","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##NE","68104","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
"##NV","89110","nationalgeneral","${uri}","${AutoEmail}","${status}","",""
