"state","zipcode","planname","RTB1","RTB2","RTB3"
"al","35215","advanthealth-plan-1-${state}-5000-20-9000-500000","${uri}","${quote_P}","${review_P}"
"##AK","99504","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##AR","72209","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##AZ","85364","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##CA","90011","IHC","Check for eligibility in seconds","Application completed in minutes",""
"##CO","80219","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##CT","06606","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##DE","19805","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##DC","20015","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##FL","33186","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##GA","30044","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##HI","96818","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##IA","50317","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##ID","83709","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##IL","60629","HCC Advantage","Check for eligibility in seconds","Get approval in minutes","Be enrolled today!"
"##IL","60629","Companion Protect","Check for eligibility in seconds","Get approval in minutes","Be enrolled today!"
"##IL","60629","Everest Prime","Check for eligibility in seconds","Get approval in minutes","Be enrolled today!"
"##CO","80219","Everest","Check for eligibility in seconds","Get approval in minutes","Be enrolled today!"
"##IL","60629","LifeShield","Check for eligibility in seconds","Get approval in minutes","Be enrolled today!"
"##IN","46227","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##KS","66062","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##KY","40214","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##LA","70816","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MA","02128","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MD","21215","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##ME","04401","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MI","48228","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MN","55106","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MO","63129","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MS","39503","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##MT","59102","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NC","28269","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##ND","58103","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NE","68104","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NH","03103","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NJ","08701","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NM","87121","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NV","89110","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##NY","11226","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##OH","43228","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##OK","73160","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##OR","97229","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##PA","19120","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##RI","02909","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##SC","29223","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##SD","57106","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##TN","37013","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##TX","79936","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##UT","84120","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##VA","23464","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##VT","05401","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##WA","98115","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##WI","53215","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##WV","25302","HCC Advantage","${uri}","${quote_P}","${review_P}"
"##WY","82001","HCC Advantage","${uri}","${quote_P}","${review_P}"
