"UTM","zip","oneTimePaymentSelected","DOB1","gender1","role1","DOB2","gender2","role2","DOB3","gender3","role3","DOB4","gender4","role4","effective","effectiveEnd","URL","context","timestart","timeend"
"affiliate=hn&","35216","true","01/01/1995","M","P","","","","","","","","","","","","${URL}","${context}","${timestart}","${timeend}"
"affiliate=hn&","35216","false","02/01/1985","F","P","07/01/1988","M","S","","","","","","","","","${URL}","${context}","${timestart}","${timeend}"
"affiliate=hn&","35216","true","03/01/1975","M","P","05/01/1977","F","S","2000","M","C","","","","","","${URL}","${context}","${timestart}","${timeend}"
"","35216","false","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","","","${URL}","${context}","${timestart}","${timeend}"
<<<<<<< HEAD
"","35216","true","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","2016-12-31","","${URL}","${context}","${timestart}","${timeend}"
"","35216","true","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","2016-12-31","2017-02-25","${URL}","${context}","${timestart}","${timeend}"
"","35216","true","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","2016-12-31","2017-03-25","${URL}","${context}","${timestart}","${timeend}"
=======
"","35216","true","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","2017-01-29","","${URL}","${context}","${timestart}","${timeend}"
"","35216","true","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","2017-01-29","2017-06-25","${URL}","${context}","${timestart}","${timeend}"
"","35216","true","04/01/1965","M","P","06/01/1967","F","S","2001","F","C","2002","M","C","2017-01-29","2017-06-25","${URL}","${context}","${timestart}","${timeend}"
>>>>>>> ed8631b4f8055fdc7284cf7996026b2f43281690
