"state","state1","zipcode","DOB","Carriers","Plan1","VerifiedPlan1","Plan2","VerifiedPlan2","Plan3","VerifiedPlan3","Plan4","VerifiedPlan4","Plan5","VerifiedPlan5","Plan6","VerifiedPlan6"
"Alabama","AL","35215","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Alaska","AK","99504","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"Arkansas","AR","72209","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Advantage 2500/20","${Bestsellername3}","HCC Advantage 7500/50","${Bestsellername4}","HCC Advantage 5000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"Arizona","AZ","85364","03/06/1995","${Carriers}","${Bestsellername1}","Standard Life Select STM Plan 3 2500/0/1M","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"California","CA","90011","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 1000/20","${Bestsellername2}","HCC Advantage 2500/20","${Bestsellername3}","HCC Advantage 7500/50","${Bestsellername4}","HCC Advantage 5000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"Colorado","CO","80219","03/06/1995","${Carriers}","${Bestsellername1}","Everest Prime 2500/0/2500/1500000","${Bestsellername2}","HCC Advantage 2500/20","${Bestsellername3}","HCC Advantage 7500/20","${Bestsellername4}","HCC Advantage 5000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"Connecticut","CT","06606","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 1000/20","${Bestsellername2}","HCC Advantage 2500/20","${Bestsellername3}","HCC Advantage 7500/20","${Bestsellername4}","HCC Advantage 5000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"Delaware","DE","19805","03/06/1995","${Carriers}","${Bestsellername1}","Standard Life Select STM Plan 3 2500/0/1M","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Advantage 2500/20","${Bestsellername4}","HCC Advantage 1000/20","${Bestsellername5}","Standard Life Select STM Plan 3 1000/0/1M","${Bestsellername6}",""
"District Of Columbia","DC","20015","03/06/1995","${Carriers}","${Bestsellername1}","Everest Prime 2500/0/2500/1500000","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Florida","FL","33186","03/06/1995","${Carriers}","${Bestsellername1}","Standard Life Select STM Plan 3 2500/0/1M","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Advantage 2500/20","${Bestsellername4}","HCC Advantage 1000/20","${Bestsellername5}","Standard Life Select STM Plan 3 1000/0/1M","${Bestsellername6}",""
