"city_name","state","state1","zipcode","featureplanname"
"Birmingham","Alabama","AL","35215","${featureplanname}"
"Anchorage","Alaska","AK","99504","${featureplanname}"
"Little Rock","Arkansas","AR","72209","${featureplanname}"
"Phoenix","Arizona","AZ","85364","${featureplanname}"
"Los Angeles","California","CA","90011","${featureplanname}"
"Denver","Colorado","CO","80219","${featureplanname}"
"Bridgeport","Connecticut","CT","06606","${featureplanname}"
"Wilmington","Delaware","DE","19805","${featureplanname}"
"Chevy Chase","District Of Columbia","DC","20015","${featureplanname}"
"Jacksonville","Florida","FL","33186","${featureplanname}"
"Atlanta","Georgia","GA","30044","${featureplanname}"
"Honolulu","Hawaii","HI","96818","${featureplanname}"
"Des Moines","Iowa","IA","50317","${featureplanname}"
"Boise","Idaho","ID","83709","${featureplanname}"
"Chicago","Illinois","IL","60629","${featureplanname}"
"Indianapolis","Indiana","IN","46227","${featureplanname}"
"Wichita","Kansas","KS","66062","${featureplanname}"
"Louisville","Kentucky","KY","40214","${featureplanname}"
"##New Orleans","Louisiana","LA","70816","${featureplanname}"
"##Boston","Massachusetts","MA","02128","${featureplanname}"
"##Baltimore","Maryland","MD","21215","${featureplanname}"
"##Portland","Maine","ME","04401","${featureplanname}"
"##Detroit","Michigan","MI","48228","${featureplanname}"
"##Minneapolis","Minnesota","MN","55106","${featureplanname}"
"##Kansas City","Missouri","MO","63129","${featureplanname}"
"##Jackson","Mississippi","MS","39503","${featureplanname}"
"##Billings","Montana","MT","59102","${featureplanname}"
"##Charlotte","North Carolina","NC","28269","${featureplanname}"
"##Fargo","North Dakota","ND","58103","${featureplanname}"
"##Omaha","Nebraska","NE","68104","${featureplanname}"
"##Manchester","New Hampshire","NH","03103","${featureplanname}"
"##Newark","New Jersey","NJ","08701","${featureplanname}"
"##Albuquerque","New Mexico","NM","87121","${featureplanname}"
"##Las Vegas","Nevada","NV","89110","${featureplanname}"
"##New York","New York","NY","11226","${featureplanname}"
"##Columbus","Ohio","OH","43228","${featureplanname}"
"##Oklahoma City","Oklahoma","OK","73160","${featureplanname}"
"##Portland","Oregon","OR","97229","${featureplanname}"
"##Philadelphia","Pennsylvania","PA","19120","${featureplanname}"
"##Providence","Rhode Island","RI","02909","${featureplanname}"
"##Columbia","South Carolina","SC","29223","${featureplanname}"
"##Sioux Falls","South Dakota","SD","57106","${featureplanname}"
"##Memphis","Tennessee","TN","37013","${featureplanname}"
"##Houston","Texas","TX","79936","${featureplanname}"
"##Salt Lake City","Utah","UT","84120","${featureplanname}"
"##Virginia Beach","Virginia","VA","23464","${featureplanname}"
"##Burlington","Vermont","VT","05401","${featureplanname}"
"##Seattle","Washington","WA","98115","${featureplanname}"
"##Milwaukee","Wisconsin","WI","53215","${featureplanname}"
"##Charleston","West Virginia","WV","25302","${featureplanname}"
"##Cheyenne","Wyoming","WY","82001","${featureplanname}"
