"state","state1","zip","provider","planname","uri","quote_P","confirm_P","start","DOB","dental_collapse","dental_Protector","denta_Guardian","Vision"
"Alabama","AL","35215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Alaska","AK","99504","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Alaska","AK","99504","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Arkansas","AR","72209","Unified Premier","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Arizona","AZ","85364","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"California","CA","90011","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Colorado","CO","80219","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Connecticut","CT","06606","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Delaware","DE","19805","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"District Of Columbia","DC","20015","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Florida","FL","33186","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Georgia","GA","30044","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Hawaii","HI","96818","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Iowa","IA","50317","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Idaho","ID","83709","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Illinois","IL","60629","Companion Protect","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Indiana","IN","46227","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Kansas","KS","66062","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Kentucky","KY","40214","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Louisiana","LA","70816","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Massachusetts","MA","02128","Unified Premier","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Maryland","MD","21215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Maine","ME","04401","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Michigan","MI","48228","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Minnesota","MN","55106","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Missouri","MO","63129","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Mississippi","MS","39503","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
