provider,Plan_name,quote_testprod_rate,quote_QA_rate,QA_Apply_page_rate,testprod_Apply_page_rate,zipcode,Primary_dob,Primary_gender,Spouse_dob,Spouse_gender,Spouse,Spouse_enable,Child_dob,Child_gender,Child,Child_enable,multiple,origin,new
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,,,,,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,1980/1/1,M,S,1,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,1980/1/1,M,S,1,2000/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,,,,,2000/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,,,,,1997/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,,,,,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,1980/1/1,M,S,1,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,1980/1/1,M,S,1,2000/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,,,,,2000/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},35216,1980/1/1,F,,,,,1997/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},99504,1980/1/1,F,,,,,,,,,,1.26,1.3797
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},99504,1980/1/1,F,1980/1/1,M,S,1,,,,,,1.26,1.3797
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},99504,1980/1/1,F,1980/1/1,M,S,1,2000/1/1,M,C,2,,1.26,1.3797
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},99504,1980/1/1,F,,,,,2000/1/1,M,C,2,,1.26,1.3797
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},99504,1980/1/1,F,,,,,1997/1/1,M,C,2,,1.26,1.3797
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},72209,1980/1/1,F,,,,,,,,,,0.88,0.96
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},72209,1980/1/1,F,1980/1/1,M,S,1,,,,,,0.88,0.96
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},72209,1980/1/1,F,1980/1/1,M,S,1,2000/1/1,M,C,2,,0.88,0.96
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},72209,1980/1/1,F,,,,,2000/1/1,M,C,2,,0.88,0.96
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},72209,1980/1/1,F,,,,,1997/1/1,M,C,2,,0.88,0.96
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},85364,1980/1/1,F,,,,,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},85364,1980/1/1,F,1980/1/1,M,S,1,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},85364,1980/1/1,F,1980/1/1,M,S,1,2000/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},85364,1980/1/1,F,,,,,2000/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},85364,1980/1/1,F,,,,,1997/1/1,M,C,2,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},19805,1980/1/1,F,,,,,,,,,,1,1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},33186,1980/1/1,F,,,,,,,,,,1.34,1.47
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},30044,1980/1/1,F,,,,,,,,,,1,1.1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},96818,1980/1/1,F,,,,,,,,,,0.88,0.9636
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},50317,1980/1/1,F,,,,,,,,,,0.82,0.9
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},60629,1980/1/1,F,,,,,,,,,,1.13,1.24
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},46227,1980/1/1,F,,,,,,,,,,0.94,0.94
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},66062,1980/1/1,F,,,,,,,,,,1,1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},40214,1980/1/1,F,,,,,,,,,,0.88,0.88
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},70816,1980/1/1,F,,,,,,,,,,1,1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},39503,1980/1/1,F,,,,,,,,,,1.07,1.07
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},28269,1980/1/1,F,,,,,,,,,,0.88,0.88
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},58103,1980/1/1,F,,,,,,,,,,0.76,0.8
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},68104,1980/1/1,F,,,,,,,,,,0.94,0.94
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},89110,1980/1/1,F,,,,,,,,,,1.13,1.24
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},43228,1980/1/1,F,,,,,,,,,,0.94,0.94
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},73160,1980/1/1,F,,,,,,,,,,0.94,0.94
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},97229,1980/1/1,F,,,,,,,,,,0.82,0.9
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},19120,1980/1/1,F,,,,,,,,,,1.13,1.24
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},29223,1980/1/1,F,,,,,,,,,,0.94,0.94
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},57106,1980/1/1,F,,,,,,,,,,0.82,0.82
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},37230,1980/1/1,F,,,,,,,,,,1,1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},79936,1980/1/1,F,,,,,,,,,,1.13,1.24
