"state","state1","zip","provider","DOB","uri"
"Alabama","AL","35215","HCC Advantage","03/06/1995","${uri}"
"##Alaska","AK","99504","HCC Advantage","03/06/1995","${uri}"
"##Arkansas","AR","72209","HCC Advantage","03/06/1995","${uri}"
"Arizona","AZ","85364","HCC Advantage","03/06/1995","${uri}"
"##California","CA","90011","HCC Advantage","03/06/1995","${uri}"
"Colorado","CO","80219","HCC Advantage","03/06/1995","${uri}"
"##Connecticut","CT","6606","HCC Advantage","03/06/1995","${uri}"
"##Delaware","DE","19805","HCC Advantage","03/06/1995","${uri}"
"##District Of Columbia","DC","20015","HCC Advantage","03/06/1995","${uri}"
"##Florida","FL","33186","HCC Advantage","03/06/1995","${uri}"
"##Georgia","GA","30044","HCC Advantage","03/06/1995","${uri}"
"##Hawaii","HI","96818","HCC Advantage","03/06/1995","${uri}"
"Iowa","IA","50317","HCC Advantage","03/06/1995","${uri}"
"##Idaho","ID","83709","HCC Advantage","03/06/1995","${uri}"
"##Illinois","IL","60629","HCC Advantage","03/06/1995","${uri}"
"##Indiana","IN","46227","HCC Advantage","03/06/1995","${uri}"
"##Kansas","KS","66062","HCC Advantage","03/06/1995","${uri}"
"Kentucky","KY","40214","HCC Advantage","03/06/1995","${uri}"
"Louisiana","LA","70816","HCC Advantage","03/06/1995","${uri}"
"##Massachusetts","MA","2128","HCC Advantage","03/06/1995","${uri}"
"##Maryland","MD","21215","HCC Advantage","03/06/1995","${uri}"
"##Maine","ME","4401","HCC Advantage","03/06/1995","${uri}"
"##Michigan","MI","48228","HCC Advantage","03/06/1995","${uri}"
"##Minnesota","MN","55106","HCC Advantage","03/06/1995","${uri}"
"##Missouri","MO","63129","HCC Advantage","03/06/1995","${uri}"
"Mississippi","MS","39503","HCC Advantage","03/06/1995","${uri}"
"##Montana","MT","59102","HCC Advantage","03/06/1995","${uri}"
"##North Carolina","NC","28269","HCC Advantage","03/06/1995","${uri}"
"North Dakota","ND","58103","HCC Advantage","03/06/1995","${uri}"
"Nebraska","NE","68104","HCC Advantage","03/06/1995","${uri}"
"##New Hampshire","NH","3103","HCC Advantage","03/06/1995","${uri}"
"##New Jersey","NJ","8701","HCC Advantage","03/06/1995","${uri}"
"##New Mexico","NM","87121","HCC Advantage","03/06/1995","${uri}"
"##Nevada","NV","89110","HCC Advantage","03/06/1995","${uri}"
"##New York","NY","11226","HCC Advantage","03/06/1995","${uri}"
"Ohio","OH","43228","HCC Advantage","03/06/1995","${uri}"
"Oklahoma","OK","73160","HCC Advantage","03/06/1995","${uri}"
"##Oregon","OR","97229","HCC Advantage","03/06/1995","${uri}"
"Pennsylvania","PA","19120","HCC Advantage","03/06/1995","${uri}"
"Rhode Island","RI","02909","HCC Advantage","03/06/1995","${uri}"
"South Carolina","SC","29223","HCC Advantage","03/06/1995","${uri}"
"##South Dakota","SD","57106","HCC Advantage","03/06/1995","${uri}"
"##Tennessee","TN","37013","HCC Advantage","03/06/1995","${uri}"
"Texas","TX","79936","HCC Advantage","03/06/1995","${uri}"
"##Utah","UT","84120","HCC Advantage","03/06/1995","${uri}"
"Virginia","VA","23464","HCC Advantage","03/06/1995","${uri}"
"##Vermont","VT","5401","HCC Advantage","03/06/1995","${uri}"
"##Washington","WA","98115","HCC Advantage","03/06/1995","${uri}"
"##Wisconsin","WI","53215","HCC Advantage","03/06/1995","${uri}"
"##West Virginia","WV","25302","HCC Advantage","03/06/1995","${uri}"
"##Wyoming","WY","82001","HCC Advantage","03/06/1995","${uri}"
