"state","state1","zip","DOB","uri","BundlesName"
"Alabama","AL","35215","03/06/1995","${uri}","${BundlesName}"
"Alaska","AK","99504","03/06/1995","${uri}","${BundlesName}"
"Arkansas","AR","72209","03/06/1995","${uri}","${BundlesName}"
"Arizona","AZ","85364","03/06/1995","${uri}","${BundlesName}"
"California","CA","90011","03/06/1995","${uri}","${BundlesName}"
"Colorado","CO","80219","03/06/1995","${uri}","${BundlesName}"
"Connecticut","CT","06606","03/06/1995","${uri}","${BundlesName}"
"Delaware","DE","19805","03/06/1995","${uri}","${BundlesName}"
"District Of Columbia","DC","20015","03/06/1995","${uri}","${BundlesName}"
"Florida","FL","33186","03/06/1995","${uri}","${BundlesName}"
"Georgia","GA","30044","03/06/1995","${uri}","${BundlesName}"
"Hawaii","HI","96818","03/06/1995","${uri}","${BundlesName}"
"Iowa","IA","50317","03/06/1995","${uri}","${BundlesName}"
"Idaho","ID","83709","03/06/1995","${uri}","${BundlesName}"
"Illinois","IL","60629","03/06/1995","${uri}","${BundlesName}"
"Indiana","IN","46227","03/06/1995","${uri}","${BundlesName}"
"Kansas","KS","66062","03/06/1995","${uri}","${BundlesName}"
"Kentucky","KY","40214","03/06/1995","${uri}","${BundlesName}"
"Louisiana","LA","70816","03/06/1995","${uri}","${BundlesName}"
"Massachusetts","MA","02128","03/06/1995","${uri}","${BundlesName}"
"Maryland","MD","21215","03/06/1995","${uri}","${BundlesName}"
"Maine","ME","04401","03/06/1995","${uri}","${BundlesName}"
"Michigan","MI","48228","03/06/1995","${uri}","${BundlesName}"
"Minnesota","MN","55106","03/06/1995","${uri}","${BundlesName}"
"Missouri","MO","63129","03/06/1995","${uri}","${BundlesName}"
"Mississippi","MS","39503","03/06/1995","${uri}","${BundlesName}"
"Montana","MT","59102","03/06/1995","${uri}","${BundlesName}"
"North Carolina","NC","28269","03/06/1995","${uri}","${BundlesName}"
"North Dakota","ND","58103","03/06/1995","${uri}","${BundlesName}"
"Nebraska","NE","68104","03/06/1995","${uri}","${BundlesName}"
"New Hampshire","NH","03103","03/06/1995","${uri}","${BundlesName}"
"New Jersey","NJ","08701","03/06/1995","${uri}","${BundlesName}"
"New Mexico","NM","87121","03/06/1995","${uri}","${BundlesName}"
"Nevada","NV","89110","03/06/1995","${uri}","${BundlesName}"
"New York","NY","11226","03/06/1995","${uri}","${BundlesName}"
"Ohio","OH","43228","03/06/1995","${uri}","${BundlesName}"
"Oklahoma","OK","73160","03/06/1995","${uri}","${BundlesName}"
"Oregon","OR","97229","03/06/1995","${uri}","${BundlesName}"
"Pennsylvania","PA","19120","03/06/1995","${uri}","${BundlesName}"
"Rhode Island","RI","02909","03/06/1995","${uri}","${BundlesName}"
"South Carolina","SC","29223","03/06/1995","${uri}","${BundlesName}"
"South Dakota","SD","57106","03/06/1995","${uri}","${BundlesName}"
"Tennessee","TN","37013","03/06/1995","${uri}","${BundlesName}"
"Texas","TX","79936","03/06/1995","${uri}","${BundlesName}"
"Utah","UT","84120","03/06/1995","${uri}","${BundlesName}"
"Virginia","VA","23464","03/06/1995","${uri}","${BundlesName}"
"Vermont","VT","05401","03/06/1995","${uri}","${BundlesName}"
"Washington","WA","98115","03/06/1995","${uri}","${BundlesName}"
"Wisconsin","WI","53215","03/06/1995","${uri}","${BundlesName}"
"West Virginia","WV","25302","03/06/1995","${uri}","${BundlesName}"
"Wyoming","WY","82001","03/06/1995","${uri}","${BundlesName}"
