"state","zipcode","carrierid","uri","AutoEmail","status"
"##AL","35112","tokiomarine","${uri}","${AutoEmail}","${status}"
"##OK","73160","tokiomarine","${uri}","${AutoEmail}","${status}"
"##PA","19120","tokiomarine","${uri}","${AutoEmail}","${status}"
"##SC","29223","tokiomarine","${uri}","${AutoEmail}","${status}"
"##TX","79936","tokiomarine","${uri}","${AutoEmail}","${status}"
"##VA","23464","tokiomarine","${uri}","${AutoEmail}","${status}"
"##WI","53215","tokiomarine","${uri}","${AutoEmail}","${status}"
"##AR","72209","tokiomarine","${uri}","${AutoEmail}","${status}"
"##AZ","85264","tokiomarine","${uri}","${AutoEmail}","${status}"
"##DC","20015","tokiomarine","${uri}","${AutoEmail}","${status}"
"##GA","30044","tokiomarine","${uri}","${AutoEmail}","${status}"
"##HI","96818","tokiomarine","${uri}","${AutoEmail}","${status}"
"##ID","83709","tokiomarine","${uri}","${AutoEmail}","${status}"
"##IL","60629","tokiomarine","${uri}","${AutoEmail}","${status}"
"MI","48228","tokiomarine","${uri}","${AutoEmail}","${status}"
"##NE","68104","tokiomarine","${uri}","${AutoEmail}","${status}"
"##NV","89110","tokiomarine","${uri}","${AutoEmail}","${status}"
