"state","state1","zipcode","Featurename","DOB","Bestsellerone","Bestsellertwo","Bestsellerthree","Bestsellerfour","Bestsellerfive"
"Alabama","AL","35215","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Alaska","AK","99504","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Arkansas","AR","72209","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Arizona","AZ","85364","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"California","CA","90011","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Colorado","CO","80219","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Connecticut","CT","06606","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Delaware","DE","19805","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"District Of Columbia","DC","20015","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Florida","FL","33186","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Georgia","GA","30044","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Hawaii","HI","96818","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Iowa","IA","50317","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Idaho","ID","83709","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Illinois","IL","60629","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Indiana","IN","46227","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Kansas","KS","66062","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Kentucky","KY","40214","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Louisiana","LA","70816","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Massachusetts","MA","02128","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Maryland","MD","21215","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Maine","ME","04401","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Michigan","MI","48228","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Minnesota","MN","55106","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Missouri","MO","63129","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Mississippi","MS","39503","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Montana","MT","59102","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"North Carolina","NC","28269","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"North Dakota","ND","58103","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Nebraska","NE","68104","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"New Hampshire","NH","03103","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##New Jersey","NJ","08701","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"New Mexico","NM","87121","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Nevada","NV","89110","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##New York","NY","11226","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Ohio","OH","43228","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Oklahoma","OK","73160","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Oregon","OR","97229","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Pennsylvania","PA","19120","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Rhode Island","RI","02909","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"South Carolina","SC","29223","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"South Dakota","SD","57106","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Tennessee","TN","37013","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Texas","TX","79936","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Utah","UT","84120","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Virginia","VA","23464","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Vermont","VT","05401","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Washington","WA","98115","HCC Advantage 5000/20","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"Wisconsin","WI","53215","Unified Premier STM 2500/1000","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"West Virginia","WV","25302","Standard Life Select STM Plan 3 2500/0/1M","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
"##Wyoming","WY","82001","${featurePlan}","03/06/1995","${Bestsellername1}","${Bestsellername2}","${Bestsellername3}","${Bestsellername4}","${Bestsellername5}"
