"state","state1","zip","DOB","planname","quote_P","apply_P","review_P_initial","review_P_on_going"
"##Alabama","AL","35215","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alabama","AL","36310","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alabama","AL","36310","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alabama","AL","36310","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alabama","AL","36310","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alabama","AL","36310","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alaska","AK","99504","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alaska","AK","99504","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alaska","AK","99504","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alaska","AK","99504","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alaska","AK","99504","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Alaska","AK","99504","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arkansas","AR","72209","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arkansas","AR","71820","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arkansas","AR","71820","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arkansas","AR","71820","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arkansas","AR","71820","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arkansas","AR","72134","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arizona","AZ","85364","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arizona","AZ","85364","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arizona","AZ","85364","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arizona","AZ","85364","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arizona","AZ","85364","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Arizona","AZ","85364","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##California","CA","90011","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##California","CA","91301","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##California","CA","93064","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##California","CA","93117","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##California","CA","96161","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##California","CA","96161","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Colorado","CO","80219","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Colorado","CO","80219","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Colorado","CO","80219","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Colorado","CO","80219","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Colorado","CO","80219","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Colorado","CO","80219","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Connecticut","CT","06606","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Connecticut","CT","06606","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Connecticut","CT","06606","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Connecticut","CT","06606","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Connecticut","CT","06606","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Connecticut","CT","06606","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Delaware","DE","19805","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Delaware","DE","19805","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Delaware","DE","19805","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Delaware","DE","19805","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Delaware","DE","19805","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Delaware","DE","19805","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##District Of Columbia","DC","20015","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##District Of Columbia","DC","20015","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##District Of Columbia","DC","20015","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##District Of Columbia","DC","20015","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##District Of Columbia","DC","20015","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##District Of Columbia","DC","20015","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Florida","FL","33186","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Florida","FL","33336","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Florida","FL","32080","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Florida","FL","32320","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Florida","FL","32320","03/06/1986","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Florida","FL","32320","03/06/1987","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Georgia","GA","30044","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Georgia","GA","31106","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Georgia","GA","30413","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Georgia","GA","31605","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Georgia","GA","31605","03/06/1986","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
"##Georgia","GA","31605","03/06/1987","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P_initial}","${review_P_on_going}"
