"url","state","FRAUD_WARNING","ACKNOWLEDGEMENTS"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","al","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ak","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ar","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","az","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ca","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","co","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ct","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","de","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","dc","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","fl","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ga","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","hi","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ia","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","id","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","il","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","in","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ks","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ky","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ma","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","md","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","me","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","mi","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","mn","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","mo","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ms","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","mt","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","nc","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","nd","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ne","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","nh","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","nj","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","nm","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","nv","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ny","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","oh","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ok","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","or","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","pa","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ri","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","sc","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","sd","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","tn","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","tx","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","ut","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","va","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","vt","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","wa","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","wi","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","wv","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
"vince.healthpocket.com/term-health-insurance/disclaimers/nationwide-defender-vision-","wy","${FRAUD_WARNING}","${ACKNOWLEDGEMENTS}"
