"Keywords","title","description","Keywordslength","titlelength","descriptionlength","Has Inbound links","Link"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/saved-plans/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/individual-health-insurance/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/short-term-medical-insurance/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/medicare/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/medicare-medigap/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/small-business-health-insurance/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/dental-insurance/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/medicaid-public-plans/list"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/doctor-healthplan-finder/quote"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/city-healthplan-finder"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/individual-health-insurance/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/medicare/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/small-business-health-insurance/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/medicaid-public-plans/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/doctor-finder/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/dental-insurance/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/short-term-medical-insurance/"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/about"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/healthcare-research"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/media"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/personal-score"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/about-us/in-the-news"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/healthcare-research/surveys/election-health-insurance-effects"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/healthcare-research/surveys"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/healthcare-research/surveys/2017-survey-health-insurance-premium-affordability"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/healthcare-research/infostat/2017-obamacare-premiums-deductibles"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/healthcare-research/infostat"
"${Keywords}","${title}","${description}","${Keywordslength}","${titlelength}","${descriptionlength}","","https://www.healthpocket.com/medicare"
