"state","state1","zipcode","DOB","expect","result"
"Alabama","AL","35215","03/06/1995","link to STM page","${result}"
"Alaska","AK","99504","03/06/1995","link to GOV page","${result}"
"Arkansas","AR","72209","03/06/1995","link to STM page","${result}"
"Arizona","AZ","85364","03/06/1995","link to STM page","${result}"
"California","CA","90001","03/06/1995","link to HBI page","${result}"
"Colorado","CO","80019","03/06/1995","link to STM page","${result}"
"Connecticut","CT","06440","03/06/1995","link to STM page","${result}"
"Delaware","DE","19964","03/06/1995","link to STM page","${result}"
"District Of Columbia","DC","20015","03/06/1995","link to STM page","${result}"
"Florida","FL","32775","03/06/1995","link to STM page","${result}"
"Georgia","GA","30547","03/06/1995","link to STM page","${result}"
"Hawaii","HI","96818","03/06/1995","link to HBI page","${result}"
"Iowa","IA","50317","03/06/1995","link to STM page","${result}"
"Idaho","ID","83709","03/06/1995","link to STM page","${result}"
"Illinois","IL","60629","03/06/1995","link to STM page","${result}"
"Indiana","IN","46227","03/06/1995","link to STM page","${result}"
"Kansas","KS","66062","03/06/1995","link to STM page","${result}"
"Kentucky","KY","40214","03/06/1995","link to STM page","${result}"
"Louisiana","LA","70816","03/06/1995","link to STM page","${result}"
"Massachusetts","MA","02128","03/06/1995","link to GOV page","${result}"
"Maryland","MD","21215","03/06/1995","link to STM page","${result}"
"Maine","ME","04401","03/06/1995","link to STM page","${result}"
"Michigan","MI","48228","03/06/1995","link to STM page","${result}"
"Minnesota","MN","55106","03/06/1995","link to STM page","${result}"
"Missouri","MO","63129","03/06/1995","link to STM page","${result}"
"Mississippi","MS","39503","03/06/1995","link to STM page","${result}"
"Montana","MT","59102","03/06/1995","link to STM page","${result}"
"North Carolina","NC","28269","03/06/1995","${result}","${result}"
"North Dakota","ND","58103","03/06/1995","link to STM page","${result}"
"Nebraska","NE","68104","03/06/1995","link to STM page","${result}"
"New Hampshire","NH","03103","03/06/1995","link to STM page","${result}"
"New Jersey","NJ","08701","03/06/1995","link to HBI page","${result}"
"New Mexico","NM","87121","03/06/1995","link to STM page","${result}"
"Nevada","NV","89110","03/06/1995","link to STM page","${result}"
"New York","NY","11226","03/06/1995","link to GOV page","${result}"
"Ohio","OH","43228","03/06/1995","link to STM page","${result}"
"Oklahoma","OK","73160","03/06/1995","link to STM page","${result}"
"Oregon","OR","97229","03/06/1995","link to STM page","${result}"
"Pennsylvania","PA","19120","03/06/1995","link to STM page","${result}"
"Rhode Island","RI","02909","03/06/1995","link to HBI page","${result}"
"South Carolina","SC","29591","03/06/1995","link to STM page","${result}"
"South Dakota","SD","57106","03/06/1995","link to STM page","${result}"
"Tennessee","TN","37013","03/06/1995","link to STM page","${result}"
"Texas","TX","79936","03/06/1995","link to STM page","${result}"
"Utah","UT","84120","03/06/1995","link to STM page","${result}"
"Virginia","VA","23464","03/06/1995","link to STM page","${result}"
"Vermont","VT","05401","03/06/1995","link to HBI page","${result}"
"Washington","WA","98115","03/06/1995","link to GOV page","${result}"
"Wisconsin","WI","53215","03/06/1995","link to STM page","${result}"
"West Virginia","WV","25302","03/06/1995","${result}","${result}"
"Wyoming","WY","82001","03/06/1995","link to STM page","${result}"
