"state","state1","zipcode","Number","Numberapi"
"Alabama","AL","35215","${Number}","${Number1}"
"Alaska","AK","99504","${Number}","${Number1}"
"Arkansas","AR","72209","${Number}","${Number1}"
"Arizona","AZ","85364","${Number}","${Number1}"
"California","CA","90001","${Number}","${Number1}"
"Colorado","CO","80019","${Number}","${Number1}"
"Connecticut","CT","06440","${Number}","${Number1}"
"Delaware","DE","19964","${Number}","${Number1}"
"District Of Columbia","DC","20015","${Number}","${Number1}"
"Florida","FL","32775","${Number}","${Number1}"
"Georgia","GA","30547","${Number}","${Number1}"
"Hawaii","HI","96818","${Number}","${Number1}"
"Iowa","IA","50317","${Number}","${Number1}"
"Idaho","ID","83709","${Number}","${Number1}"
"Illinois","IL","60629","${Number}","${Number1}"
"Indiana","IN","46227","${Number}","${Number1}"
"Kansas","KS","66062","${Number}","${Number1}"
"Kentucky","KY","40214","${Number}","${Number1}"
"Louisiana","LA","70816","${Number}","${Number1}"
"Massachusetts","MA","02128","${Number}","${Number1}"
"Maryland","MD","21215","${Number}","${Number1}"
"Maine","ME","04401","${Number}","${Number1}"
"Michigan","MI","48228","${Number}","${Number1}"
"Minnesota","MN","55106","${Number}","${Number1}"
"Missouri","MO","63129","${Number}","${Number1}"
"Mississippi","MS","39503","${Number}","${Number1}"
"Montana","MT","59102","${Number}","${Number1}"
"North Carolina","NC","28269","${Number}","${Number1}"
"North Dakota","ND","58103","${Number}","${Number1}"
"Nebraska","NE","68104","${Number}","${Number1}"
"New Hampshire","NH","03103","${Number}","${Number1}"
"New Jersey","NJ","08701","${Number}","${Number1}"
"New Mexico","NM","87121","${Number}","${Number1}"
"Nevada","NV","89110","${Number}","${Number1}"
"New York","NY","11226","${Number}","${Number1}"
"Ohio","OH","43228","${Number}","${Number1}"
"Oklahoma","OK","73160","${Number}","${Number1}"
"Oregon","OR","97229","${Number}","${Number1}"
"Pennsylvania","PA","19120","${Number}","${Number1}"
"Rhode Island","RI","02909","${Number}","${Number1}"
"South Carolina","SC","29591","${Number}","${Number1}"
"South Dakota","SD","57106","${Number}","${Number1}"
"Tennessee","TN","37013","${Number}","${Number1}"
"Texas","TX","79936","${Number}","${Number1}"
"Utah","UT","84120","${Number}","${Number1}"
"Virginia","VA","23464","${Number}","${Number1}"
"Vermont","VT","05401","${Number}","${Number1}"
"Washington","WA","98115","${Number}","${Number1}"
"Wisconsin","WI","53215","${Number}","${Number1}"
"West Virginia","WV","25302","${Number}","${Number1}"
"Wyoming","WY","82001","${Number}","${Number1}"
