"state","state1","zipcode","Number","Carriers"
"Alabama","AL","35215","${Number}","${Carriers}"
"Alaska","AK","99504","${Number}","${Carriers}"
"Arkansas","AR","72209","${Number}","${Carriers}"
"Arizona","AZ","85364","${Number}","${Carriers}"
"California","CA","90001","${Number}","${Carriers}"
"Colorado","CO","80019","${Number}","${Carriers}"
"Connecticut","CT","06440","${Number}","${Carriers}"
"Delaware","DE","19964","${Number}","${Carriers}"
"District Of Columbia","DC","20015","${Number}","${Carriers}"
"Florida","FL","32775","${Number}","${Carriers}"
"Georgia","GA","30547","${Number}","${Carriers}"
"Hawaii","HI","96818","${Number}","${Carriers}"
"Iowa","IA","50317","${Number}","${Carriers}"
"Idaho","ID","83709","${Number}","${Carriers}"
"Illinois","IL","60629","${Number}","${Carriers}"
"Indiana","IN","46227","${Number}","${Carriers}"
"Kansas","KS","66062","${Number}","${Carriers}"
"Kentucky","KY","40214","${Number}","${Carriers}"
"Louisiana","LA","70816","${Number}","${Carriers}"
"Massachusetts","MA","02128","${Number}","${Carriers}"
"Maryland","MD","21215","${Number}","${Carriers}"
"Maine","ME","04401","${Number}","${Carriers}"
"Michigan","MI","48228","${Number}","${Carriers}"
"Minnesota","MN","55106","${Number}","${Carriers}"
"Missouri","MO","63129","${Number}","${Carriers}"
"Mississippi","MS","39503","${Number}","${Carriers}"
"Montana","MT","59102","${Number}","${Carriers}"
"North Carolina","NC","28269","${Number}","${Carriers}"
"North Dakota","ND","58103","${Number}","${Carriers}"
"Nebraska","NE","68104","${Number}","${Carriers}"
"New Hampshire","NH","03103","${Number}","${Carriers}"
"New Jersey","NJ","08701","${Number}","${Carriers}"
"New Mexico","NM","87121","${Number}","${Carriers}"
"Nevada","NV","89110","${Number}","${Carriers}"
"New York","NY","11226","${Number}","${Carriers}"
"Ohio","OH","43228","${Number}","${Carriers}"
"Oklahoma","OK","73160","${Number}","${Carriers}"
"Oregon","OR","97229","${Number}","${Carriers}"
"Pennsylvania","PA","19120","${Number}","${Carriers}"
"Rhode Island","RI","02909","${Number}","${Carriers}"
"South Carolina","SC","29591","${Number}","${Carriers}"
"South Dakota","SD","57106","${Number}","${Carriers}"
"Tennessee","TN","37013","${Number}","${Carriers}"
"Texas","TX","79936","${Number}","${Carriers}"
"Utah","UT","84120","${Number}","${Carriers}"
"Virginia","VA","23464","${Number}","${Carriers}"
"Vermont","VT","05401","${Number}","${Carriers}"
"Washington","WA","98115","${Number}","${Carriers}"
"Wisconsin","WI","53215","${Number}","${Carriers}"
"West Virginia","WV","25302","${Number}","${Carriers}"
"Wyoming","WY","82001","${Number}","${Carriers}"
