"state","state1","zipcode","City","Number","Number1","Carriers"
"Alabama","AL","35215","${City}","${Number}","${Number1}","${Carriers}"
"Alaska","AK","99504","${City}","${Number}","${Number1}","${Carriers}"
"Arkansas","AR","72209","${City}","${Number}","${Number1}","${Carriers}"
"Arizona","AZ","85364","${City}","${Number}","${Number1}","${Carriers}"
"California","CA","90001","${City}","${Number}","${Number1}","${Carriers}"
"Colorado","CO","80019","${City}","${Number}","${Number1}","${Carriers}"
"Connecticut","CT","06440","${City}","${Number}","${Number1}","${Carriers}"
"Delaware","DE","19964","${City}","${Number}","${Number1}","${Carriers}"
"District Of Columbia","DC","20015","${City}","${Number}","${Number1}","${Carriers}"
"Florida","FL","32775","${City}","${Number}","${Number1}","${Carriers}"
"Georgia","GA","30547","${City}","${Number}","${Number1}","${Carriers}"
"Hawaii","HI","96818","${City}","${Number}","${Number1}","${Carriers}"
"Iowa","IA","50317","${City}","${Number}","${Number1}","${Carriers}"
"Idaho","ID","83709","${City}","${Number}","${Number1}","${Carriers}"
"Illinois","IL","60629","${City}","${Number}","${Number1}","${Carriers}"
"Indiana","IN","46227","${City}","${Number}","${Number1}","${Carriers}"
"Kansas","KS","66062","${City}","${Number}","${Number1}","${Carriers}"
"Kentucky","KY","40214","${City}","${Number}","${Number1}","${Carriers}"
"Louisiana","LA","70816","${City}","${Number}","${Number1}","${Carriers}"
"Massachusetts","MA","02128","${City}","${Number}","${Number1}","${Carriers}"
"Maryland","MD","21215","${City}","${Number}","${Number1}","${Carriers}"
"Maine","ME","04401","${City}","${Number}","${Number1}","${Carriers}"
"Michigan","MI","48228","${City}","${Number}","${Number1}","${Carriers}"
"Minnesota","MN","55106","${City}","${Number}","${Number1}","${Carriers}"
"Missouri","MO","63129","${City}","${Number}","${Number1}","${Carriers}"
"Mississippi","MS","39503","${City}","${Number}","${Number1}","${Carriers}"
"Montana","MT","59102","${City}","${Number}","${Number1}","${Carriers}"
"North Carolina","NC","28269","${City}","${Number}","${Number1}","${Carriers}"
"North Dakota","ND","58103","${City}","${Number}","${Number1}","${Carriers}"
"Nebraska","NE","68104","${City}","${Number}","${Number1}","${Carriers}"
"New Hampshire","NH","03103","${City}","${Number}","${Number1}","${Carriers}"
"New Jersey","NJ","08701","${City}","${Number}","${Number1}","${Carriers}"
"New Mexico","NM","87121","${City}","${Number}","${Number1}","${Carriers}"
"Nevada","NV","89110","${City}","${Number}","${Number1}","${Carriers}"
"New York","NY","11226","${City}","${Number}","${Number1}","${Carriers}"
"Ohio","OH","43228","${City}","${Number}","${Number1}","${Carriers}"
"Oklahoma","OK","73160","${City}","${Number}","${Number1}","${Carriers}"
"Oregon","OR","97229","${City}","${Number}","${Number1}","${Carriers}"
"Pennsylvania","PA","19120","${City}","${Number}","${Number1}","${Carriers}"
"Rhode Island","RI","02909","${City}","${Number}","${Number1}","${Carriers}"
"South Carolina","SC","29591","${City}","${Number}","${Number1}","${Carriers}"
"South Dakota","SD","57106","${City}","${Number}","${Number1}","${Carriers}"
"Tennessee","TN","37013","${City}","${Number}","${Number1}","${Carriers}"
"Texas","TX","79936","${City}","${Number}","${Number1}","${Carriers}"
"Utah","UT","84120","${City}","${Number}","${Number1}","${Carriers}"
"Virginia","VA","23464","${City}","${Number}","${Number1}","${Carriers}"
"Vermont","VT","05401","${City}","${Number}","${Number1}","${Carriers}"
"Washington","WA","98115","${City}","${Number}","${Number1}","${Carriers}"
"Wisconsin","WI","53215","${City}","${Number}","${Number1}","${Carriers}"
"West Virginia","WV","25302","${City}","${Number}","${Number1}","${Carriers}"
"Wyoming","WY","82001","${City}","${Number}","${Number1}","${Carriers}"
