"state","state1","zipcode","Num","AHIplanCount"
"Alabama","AL","35215","${Num}","${planCount}"
"Alaska","AK","99504","${Num}","${planCount}"
"Arkansas","AR","72209","${Num}","${planCount}"
"Arizona","AZ","85364","${Num}","${planCount}"
"California","CA","90001","${Num}","${planCount}"
"Colorado","CO","80019","${Num}","${planCount}"
"Connecticut","CT","06440","${Num}","${planCount}"
"Delaware","DE","19964","${Num}","${planCount}"
"District Of Columbia","DC","20015","${Num}","${planCount}"
"Florida","FL","32775","${Num}","${planCount}"
"Georgia","GA","30547","${Num}","${planCount}"
"Hawaii","HI","96818","${Num}","${planCount}"
"Iowa","IA","50317","${Num}","${planCount}"
"Idaho","ID","83709","${Num}","${planCount}"
"Illinois","IL","60629","${Num}","${planCount}"
"Indiana","IN","46227","${Num}","${planCount}"
"Kansas","KS","66062","${Num}","${planCount}"
"Kentucky","KY","40214","${Num}","${planCount}"
"Louisiana","LA","70816","${Num}","${planCount}"
"Massachusetts","MA","02128","${Num}","${planCount}"
"Maryland","MD","21215","${Num}","${planCount}"
"Maine","ME","04401","${Num}","${planCount}"
"Michigan","MI","48228","${Num}","${planCount}"
"Minnesota","MN","55106","${Num}","${planCount}"
"Missouri","MO","63129","${Num}","${planCount}"
"Mississippi","MS","39503","${Num}","${planCount}"
"Montana","MT","59102","${Num}","${planCount}"
"North Carolina","NC","28269","${Num}","${planCount}"
"North Dakota","ND","58103","${Num}","${planCount}"
"Nebraska","NE","68104","${Num}","${planCount}"
"New Hampshire","NH","03103","${Num}","${planCount}"
"New Jersey","NJ","08701","${Num}","${planCount}"
"New Mexico","NM","87121","${Num}","${planCount}"
"Nevada","NV","89110","${Num}","${planCount}"
"New York","NY","11226","${Num}","${planCount}"
"Ohio","OH","43228","${Num}","${planCount}"
"Oklahoma","OK","73160","${Num}","${planCount}"
"Oregon","OR","97229","${Num}","${planCount}"
"Pennsylvania","PA","19120","${Num}","${planCount}"
"Rhode Island","RI","02909","${Num}","${planCount}"
"South Carolina","SC","29591","${Num}","${planCount}"
"South Dakota","SD","57106","${Num}","${planCount}"
"Tennessee","TN","37013","${Num}","${planCount}"
"Texas","TX","79936","${Num}","${planCount}"
"Utah","UT","84120","${Num}","${planCount}"
"Virginia","VA","23464","${Num}","${planCount}"
"Vermont","VT","05401","${Num}","${planCount}"
"Washington","WA","98115","${Num}","${planCount}"
"Wisconsin","WI","53215","${Num}","${planCount}"
"West Virginia","WV","25302","${Num}","${planCount}"
"Wyoming","WY","82001","${Num}","${planCount}"
