"zipcode","DOB","year","state1"
"##35215","03/06/1995","2018","AL"
"##72209","03/06/1995","2018","AR"
"##85364","03/06/1995","2018","AZ"
"90001","03/06/1995","2019","CA"
"##06606","03/06/1995","2018","CT"
"##20015","03/06/1995","2018","DC"
"##33186","03/06/1995","2018","FL"
"##30044","03/06/1995","2018","GA"
"##96818","03/06/1995","2018","HI"
"##83709","03/06/1995","2018","ID"
"##60629","03/06/1995","2018","IL"
"##46227","03/06/1995","2018","IN"
"##50317","03/06/1995","2018","IA"
"##66062","03/06/1995","2018","KS"
"##40214","03/06/1995","2018","KY"
"##70816","03/06/1995","2018","LA"
"##04401","03/06/1995","2018","ME"
"##21215","03/06/1995","2018","MD"
"##48228","03/06/1995","2018","MI"
"##63129","03/06/1995","2018","MO"
"##39503","03/06/1995","2018","MS"
"##59102","03/06/1995","2018","MT"
"##68104","03/06/1995","2018","NE"
"##87121","03/06/1995","2018","NM"
"##89110","03/06/1995","2018","NV"
"##28269","03/06/1995","2018","NC"
"##58103","03/06/1995","2018","ND"
"##43228","03/06/1995","2018","OH"
"##73160","03/06/1995","2018","OK"
"##97229","03/06/1995","2018","OR"
"##19120","03/06/1995","2018","PA"
"##29223","03/06/1995","2018","SC"
"##57106","03/06/1995","2018","SD"
"##37013","03/06/1995","2018","TN"
"##79936","03/06/1995","2018","TX"
"##84120","03/06/1995","2018","UT"
"##23464","03/06/1995","2018","VA"
"##25302","03/06/1995","2018","WV"
"##53215","03/06/1995","2018","WI"
"##82001","03/06/1995","2018","WY"
