"sitemaplink","url"
"http://${ENV}.healthpocket.com/sitemap.xml","*healthpocket*"
"https://${ENV}.healthpocket.com/2019-medicare/sitemap.xml","*medicare*"
"https://${ENV}.healthpocket.com/2018-medicare/sitemap.xml","*medicare*"
"https://${ENV}.healthpocket.com/medicare/stateSitemap.xml","*medicare*"
"https://${ENV}.healthpocket.com/medicaid-public-plans/sitemap.xml","*medicaid-public-plans*"
"https://${ENV}.healthpocket.com/small-business-health-insurance/sitemap.xml","*small-business-health-insurance*"
"https://${ENV}.healthpocket.com/short-term-health-insurance/sitemap.xml","*short-term-health-insurance*"
"https://${ENV}.healthpocket.com/dental-insurance/sitemap.xml","*dental-insurance*"
"https://${ENV}.healthpocket.com/2019-individual-health-insurance/sitemap.xml","*individual-health-insurance*"
"https://${ENV}.healthpocket.com/2018-individual-health-insurance/sitemap.xml","*individual-health-insurance*"
"https://${ENV}.healthpocket.com/individual-health-insurance/stateSitemap.xml","*obamacare*"
"https://${ENV}.healthpocket.com/medicare-medigap/sitemap.xml","*medicare-medigap*"
"https://${ENV}.healthpocket.com/healthcare-glossary/sitemap.xml","*healthcare-glossary*"
"https://${ENV}.healthpocket.com/articles/sitemap.xml","*about-us*"
"##https://${ENV}.healthpocket.com/city-quote-pages/page/0/sitemap.xml",""
"##https://${ENV}.healthpocket.com/city-quote-pages/page/1/sitemap.xml",""
"##https://${ENV}.healthpocket.com/city-quote-pages/page/2/sitemap.xml",""
"##https://${ENV}.healthpocket.com/city-quote-pages/page/3/sitemap.xml",""
"##https://${ENV}.healthpocket.com/city-quote-pages/page/4/sitemap.xml",""
"##https://${ENV}.healthpocket.com/city-quote-pages/page/5/sitemap.xml",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
"##${num1}",""
