"env","url","city_name","state","state1","zipcode"
"##www","http://www.healthpocket.com/","Anchorage","Alaska","AK","99504"
"www","http://www.healthpocket.com/","Los Angeles","California","CA","90011"
"##www","http://www.healthpocket.com/","Honolulu","Hawaii","HI","96818"
"##www","http://www.healthpocket.com/","Boston","Massachusetts","MA","02128"
"##www","http://www.healthpocket.com/","Minneapolis","Minnesota","MN","55106"
"##www","http://www.healthpocket.com/","Fargo","North Dakota","ND","58103"
"##www","http://www.healthpocket.com/","Newark","New Jersey","NJ","08701"
"##www","http://www.healthpocket.com/","New York","New York","NY","11226"
"##www","http://www.healthpocket.com/","Sioux Falls","South Dakota","SD","57106"
"##www","http://www.healthpocket.com/","Burlington","Vermont","VT","05401"
