"env","url","city_name","state","state1","zipcode"
"##www","http://www.healthpocket.com/","Little Rock","Arkansas","AR","72209"
"##www","http://www.healthpocket.com/","Phoenix","Arizona","AZ","85364"
"www","http://www.healthpocket.com/","Los Angeles","California","CA","90011"
"##www","http://www.healthpocket.com/","Denver","Colorado","CO","80219"
"##www","http://www.healthpocket.com/","Bridgeport","Connecticut","CT","06606"
"##www","http://www.healthpocket.com/","Wilmington","Delaware","DE","19805"
"##www","http://www.healthpocket.com/","Jacksonville","Florida","FL","33186"
"##www","http://www.healthpocket.com/","Atlanta","Georgia","GA","30044"
"##www","http://www.healthpocket.com/","Des Moines","Iowa","IA","50317"
"##www","http://www.healthpocket.com/","Boise","Idaho","ID","83709"
"##www","http://www.healthpocket.com/","Chicago","Illinois","IL","60629"
"##www","http://www.healthpocket.com/","Indianapolis","Indiana","IN","46227"
"##www","http://www.healthpocket.com/","Wichita","Kansas","KS","66062"
"##www","http://www.healthpocket.com/","Louisville","Kentucky","KY","40214"
"##www","http://www.healthpocket.com/","New Orleans","Louisiana","LA","70816"
"##www","http://www.healthpocket.com/","Baltimore","Maryland","MD","21215"
"##www","http://www.healthpocket.com/","Portland","Maine","ME","04401"
"##www","http://www.healthpocket.com/","Detroit","Michigan","MI","48228"
"##www","http://www.healthpocket.com/","Kansas City","Missouri","MO","63129"
"##www","http://www.healthpocket.com/","Jackson","Mississippi","MS","39503"
"##www","http://www.healthpocket.com/","Billings","Montana","MT","59102"
"##www","http://www.healthpocket.com/","Charlotte","North Carolina","NC","28269"
"##www","http://www.healthpocket.com/","Omaha","Nebraska","NE","68104"
"##www","http://www.healthpocket.com/","Manchester","New Hampshire","NH","03103"
"##www","http://www.healthpocket.com/","Albuquerque","New Mexico","NM","87121"
"##www","http://www.healthpocket.com/","Las Vegas","Nevada","NV","89110"
"##www","http://www.healthpocket.com/","Columbus","Ohio","OH","43228"
"##www","http://www.healthpocket.com/","Oklahoma City","Oklahoma","OK","73160"
"##www","http://www.healthpocket.com/","Portland","Oregon","OR","97229"
"##www","http://www.healthpocket.com/","Philadelphia","Pennsylvania","PA","19120"
"##www","http://www.healthpocket.com/","Providence","Rhode Island","RI","02909"
"##www","http://www.healthpocket.com/","Columbia","South Carolina","SC","29223"
"##www","http://www.healthpocket.com/","Memphis","Tennessee","TN","37013"
"##www","http://www.healthpocket.com/","Houston","Texas","TX","79936"
"##www","http://www.healthpocket.com/","Salt Lake City","Utah","UT","84120"
"##www","http://www.healthpocket.com/","Virginia Beach","Virginia","VA","23464"
"##www","http://www.healthpocket.com/","Seattle","Washington","WA","98115"
"##www","http://www.healthpocket.com/","Milwaukee","Wisconsin","WI","53215"
"##www","http://www.healthpocket.com/","Charleston","West Virginia","WV","25302"
"##www","http://www.healthpocket.com/","Cheyenne","Wyoming","WY","82001"
