"state","state1","zipcode","num","DOB"
"Alabama","AL","35215","${num}","10101980"
"Alaska","AK","99504","${num}","10101980"
"Arkansas","AR","72209","${num}","10101980"
"Arizona","AZ","85364","${num}","10101980"
"California","CA","90001","${num}","10101980"
"Colorado","CO","80019","${num}","10101980"
"Connecticut","CT","06440","${num}","10101980"
"Delaware","DE","19964","${num}","10101980"
"District Of Columbia","DC","20015","${num}","10101980"
"Florida","FL","32775","${num}","10101980"
"Georgia","GA","30547","${num}","10101980"
"Hawaii","HI","96818","${num}","10101980"
"Iowa","IA","50317","${num}","10101980"
"Idaho","ID","83709","${num}","10101980"
"Illinois","IL","60629","${num}","10101980"
"Indiana","IN","46227","${num}","10101980"
"Kansas","KS","66062","${num}","10101980"
"Kentucky","KY","40214","${num}","10101980"
"Louisiana","LA","70816","${num}","10101980"
"Massachusetts","MA","02128","${num}","10101980"
"Maryland","MD","21215","${num}","10101980"
"Maine","ME","04401","${num}","10101980"
"Michigan","MI","48228","${num}","10101980"
"Minnesota","MN","55106","${num}","10101980"
"Missouri","MO","63129","${num}","10101980"
"Mississippi","MS","39503","${num}","10101980"
"Montana","MT","59102","${num}","10101980"
"North Carolina","NC","28269","${num}","10101980"
"North Dakota","ND","58103","${num}","10101980"
"Nebraska","NE","68104","${num}","10101980"
"New Hampshire","NH","03103","${num}","10101980"
"New Jersey","NJ","08701","${num}","10101980"
"New Mexico","NM","87121","${num}","10101980"
"Nevada","NV","89110","${num}","10101980"
"New York","NY","11226","${num}","10101980"
"Ohio","OH","43228","${num}","10101980"
"Oklahoma","OK","73160","${num}","10101980"
"Oregon","OR","97229","${num}","10101980"
"Pennsylvania","PA","19120","${num}","10101980"
"Rhode Island","RI","02909","${num}","10101980"
"South Carolina","SC","29591","${num}","10101980"
"South Dakota","SD","57106","${num}","10101980"
"Tennessee","TN","37013","${num}","10101980"
"Texas","TX","79936","${num}","10101980"
"Utah","UT","84120","${num}","10101980"
"Virginia","VA","23464","${num}","10101980"
"Vermont","VT","05401","${num}","10101980"
"Washington","WA","98115","${num}","10101980"
"Wisconsin","WI","53215","${num}","10101980"
"West Virginia","WV","25302","${num}","10101980"
"Wyoming","WY","82001","${num}","10101980"
