"state","state1","zipcode","DOB","num","num1","num2","num3","premium1","premium2","premium3"
"Alabama","AL","35215","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Alaska","AK","99504","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Arkansas","AR","72209","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Arizona","AZ","85364","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"California","CA","90011","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Colorado","CO","80219","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Connecticut","CT","06606","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Delaware","DE","19805","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"District Of Columbia","DC","20015","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Florida","FL","33186","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Georgia","GA","30044","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Hawaii","HI","96818","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Iowa","IA","50317","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Idaho","ID","83709","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Illinois","IL","60629","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Indiana","IN","46227","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Kansas","KS","66062","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Kentucky","KY","40214","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Louisiana","LA","70816","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Massachusetts","MA","02128","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Maryland","MD","21215","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Maine","ME","04401","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Michigan","MI","48228","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Minnesota","MN","55106","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Missouri","MO","63129","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Mississippi","MS","39503","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Montana","MT","59102","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"North Carolina","NC","28269","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"North Dakota","ND","58103","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Nebraska","NE","68104","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"New Hampshire","NH","03103","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"New Jersey","NJ","08701","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"New Mexico","NM","87121","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Nevada","NV","89110","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"New York","NY","11226","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Ohio","OH","43228","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Oklahoma","OK","73160","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Oregon","OR","97229","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Pennsylvania","PA","19120","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"Rhode Island","RI","02909","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"South Carolina","SC","29223","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
"South Dakota","SD","57106","10101980","${num}","${num1}","${num2}","${num3}","${premium1}","${premium2}","${premium3}"
