"zip","state","county"
"72003","AR","Arkansas County"
"71635","AR","Ashley County"
"72531","AR","Baxter County"
"72711","AR","Benton County"
"72601","AR","Boone County"
"71631","AR","Bradley County"
"71744","AR","Calhoun County"
"72611","AR","Carroll County"
"71638","AR","Chicot County"
"71721","AR","Clark County"
"72422","AR","Clay County"
"72044","AR","Cleburne County"
"71652","AR","Cleveland County"
"71740","AR","Columbia County"
"72027","AR","Conway County"
"72401","AR","Craighead County"
"72921","AR","Crawford County"
"72301","AR","Crittenden County"
"72324","AR","Cross County"
"71725","AR","Dallas County"
"71630","AR","Desha County"
"71655","AR","Drew County"
"72032","AR","Faulkner County"
"72820","AR","Franklin County"
"72515","AR","Fulton County"
"71901","AR","Garland County"
"72057","AR","Grant County"
"72412","AR","Greene County"
"71801","AR","Hempstead County"
"71929","AR","Hot Spring County"
"71833","AR","Howard County"
"72165","AR","Independence County"
"72512","AR","Izard County"
"72005","AR","Jackson County"
"71601","AR","Jefferson County"
"72830","AR","Johnson County"
"71826","AR","Lafayette County"
"72410","AR","Lawrence County"
"72311","AR","Lee County"
"71643","AR","Lincoln County"
"71820","AR","Little River County"
"72826","AR","Logan County"
"72007","AR","Lonoke County"
"72721","AR","Madison County"
"72619","AR","Marion County"
"71834","AR","Miller County"
"72310","AR","Mississippi County"
"72021","AR","Monroe County"
"71935","AR","Montgomery County"
"71722","AR","Nevada County"
"72624","AR","Newton County"
"71701","AR","Ouachita County"
"72001","AR","Perry County"
"72312","AR","Phillips County"
"71922","AR","Pike County"
"72354","AR","Poinsett County"
"71932","AR","Polk County"
"72679","AR","Pope County"
"72017","AR","Prairie County"
"72053","AR","Pulaski County"
"72413","AR","Randolph County"
"71909","AR","Saline County"
"72841","AR","Scott County"
"72636","AR","Searcy County"
"72901","AR","Sebastian County"
"71823","AR","Sevier County"
"72459","AR","Sharp County"
"72322","AR","St Francis County"
"72336","AR","St. Francis County"
"72051","AR","Stone County"
"71724","AR","Union County"
"72013","AR","Van Buren County"
"72701","AR","Washington County"
"72010","AR","White County"
"72006","AR","Woodruff County"
"72824","AR","Yell County"
"33106","FL",""
"32601","FL","Alachua County"
"32040","FL","Baker County"
"32401","FL","Bay County"
"32042","FL","Bradford County"
"32754","FL","Brevard County"
"33004","FL","Broward County"
"32421","FL","Calhoun County"
"33927","FL","Charlotte County"
"34423","FL","Citrus County"
"32003","FL","Clay County"
"34101","FL","Collier County"
"32024","FL","Columbia County"
"34265","FL","Desoto County"
"32628","FL","Dixie County"
"32099","FL","Duval County"
"32501","FL","Escambia County"
"32110","FL","Flagler County"
"32320","FL","Franklin County"
"32324","FL","Gadsden County"
"32619","FL","Gilchrist County"
"33471","FL","Glades County"
"32456","FL","Gulf County"
"32052","FL","Hamilton County"
"33834","FL","Hardee County"
"33440","FL","Hendry County"
"34601","FL","Hernando County"
"33825","FL","Highlands County"
"33503","FL","Hillsborough County"
"32425","FL","Holmes County"
"32948","FL","Indian River County"
"32420","FL","Jackson County"
"32336","FL","Jefferson County"
"32013","FL","Lafayette County"
"32102","FL","Lake County"
"33900","FL","Lee County"
"32301","FL","Leon County"
"32621","FL","Levy County"
"32321","FL","Liberty County"
"32059","FL","Madison County"
"34201","FL","Manatee County"
"32111","FL","Marion County"
"33455","FL","Martin County"
"33002","FL","Miami-Dade County"
"33001","FL","Monroe County"
"32009","FL","Nassau County"
"32531","FL","Okaloosa County"
"34972","FL","Okeechobee County"
"32703","FL","Orange County"
"33848","FL","Osceola County"
"33401","FL","Palm Beach County"
"33523","FL","Pasco County"
"33701","FL","Pinellas County"
"33801","FL","Polk County"
"32007","FL","Putnam County"
"32530","FL","Santa Rosa County"
"34223","FL","Sarasota County"
"32701","FL","Seminole County"
"32033","FL","St Johns County"
"34945","FL","St Lucie County"
"32004","FL","St. Johns County"
"34948","FL","St. Lucie County"
"32162","FL","Sumter County"
"32008","FL","Suwannee County"
"32347","FL","Taylor County"
"32026","FL","Union County"
"32105","FL","Volusia County"
"32326","FL","Wakulla County"
"32422","FL","Walton County"
"32427","FL","Washington County"
"83616","ID","Ada County"
"83612","ID","Adams County"
"83201","ID","Bannock County"
"83220","ID","Bear Lake County"
"83824","ID","Benewah County"
"83210","ID","Bingham County"
"83313","ID","Blaine County"
"83602","ID","Boise County"
"83804","ID","Bonner County"
"83401","ID","Bonneville County"
"83805","ID","Boundary County"
"83213","ID","Butte County"
"83322","ID","Camas County"
"83605","ID","Canyon County"
"83217","ID","Caribou County"
"83311","ID","Cassia County"
"83423","ID","Clark County"
"83520","ID","Clearwater County"
"83226","ID","Custer County"
"83601","ID","Elmore County"
"83228","ID","Franklin County"
"83420","ID","Fremont County"
"83617","ID","Gem County"
"83314","ID","Gooding County"
"83522","ID","Idaho County"
"83425","ID","Jefferson County"
"83325","ID","Jerome County"
"83801","ID","Kootenai County"
"83535","ID","Latah County"
"83229","ID","Lemhi County"
"83523","ID","Lewis County"
"83324","ID","Lincoln County"
"83436","ID","Madison County"
"83336","ID","Minidoka County"
"83501","ID","Nez Perce County"
"83243","ID","Oneida County"
"83604","ID","Owyhee County"
"83619","ID","Payette County"
"83211","ID","Power County"
"83802","ID","Shoshone County"
"83422","ID","Teton County"
"83301","ID","Twin Falls County"
"83611","ID","Valley County"
"83610","ID","Washington County"
"48705","MI","Alcona County"
"49806","MI","Alger County"
"49010","MI","Allegan County"
"49707","MI","Alpena County"
"49611","MI","Antrim County"
"48610","MI","Arenac County"
"49861","MI","Baraga County"
"48897","MI","Barry County"
"48611","MI","Bay County"
"49616","MI","Benzie County"
"49022","MI","Berrien County"
"49028","MI","Branch County"
"49011","MI","Calhoun County"
"49031","MI","Cass County"
"49711","MI","Charlevoix County"
"49705","MI","Cheboygan County"
"49710","MI","Chippewa County"
"48617","MI","Clare County"
"48808","MI","Clinton County"
"49733","MI","Crawford County"
