"State","zip","2018","2017"
"AK","99701","${count}","${count1}"
"AL","35201","${count}","${count1}"
"AR","72651","${count}","${count1}"
"AZ","85001","${count}","${count1}"
"CA","90010","${count}","${count1}"
"CO","80002","${count}","${count1}"
"CT","06063","${count}","${count1}"
"DC","20001","${count}","${count1}"
"DE","19701","${count}","${count1}"
"FL","32099","${count}","${count1}"
"GA","30301","${count}","${count1}"
"HI","96801","${count}","${count1}"
"IA","51529","${count}","${count1}"
"ID","83616","${count}","${count1}"
"IL","60601","${count}","${count1}"
"IN","46201","${count}","${count1}"
"KS","67736","${count}","${count1}"
"KY","42022","${count}","${count1}"
"LA","70112","${count}","${count1}"
"MA","01810","${count}","${count1}"
"MD","21401","${count}","${count1}"
"ME","48005","${count}","${count1}"
"MI","49908","${count}","${count1}"
"MN","55057","${count}","${count1}"
"MO","64476","${count}","${count1}"
"MS","38720","${count}","${count1}"
"MT","59724","${count}","${count1}"
"NC","27239","${count}","${count1}"
"ND","58563","${count}","${count1}"
"NE","68046","${count}","${count1}"
"NH","03241","${count}","${count1}"
"NJ","10964","${count}","${count1}"
"NM","87008","${count}","${count1}"
"NV","89101","${count}","${count1}"
"NY","10001","${count}","${count1}"
"OH","45201","${count}","${count1}"
"OK","73717","${count}","${count1}"
"OR","97710","${count}","${count1}"
"PA","19019","${count}","${count1}"
"RI","02806","${count}","${count1}"
"SC","29601","${count}","${count1}"
"SD","57424","${count}","${count1}"
"TN","37016","${count}","${count1}"
"TX","75901","${count}","${count1}"
"UT","84101","${count}","${count1}"
"VA","23002","${count}","${count1}"
"VT","24540","${count}","${count1}"
"WA","98101","${count}","${count1}"
"WI","54401","${count}","${count1}"
"WV","24851","${count}","${count1}"
"WY","82212","${count}","${count1}"
