"State","zip","Carriers"
"AK","99701","${Carriers}"
"AL","35201","${Carriers}"
"AR","72651","${Carriers}"
"AZ","85001","${Carriers}"
"CA","90010","${Carriers}"
"CO","80002","${Carriers}"
"CT","06063","${Carriers}"
"DC","20001","${Carriers}"
"DE","19701","${Carriers}"
"FL","32099","${Carriers}"
"GA","30301","${Carriers}"
"HI","96801","${Carriers}"
"IA","51529","${Carriers}"
"ID","83616","${Carriers}"
"IL","60601","${Carriers}"
"IN","46201","${Carriers}"
"KS","67736","${Carriers}"
"KY","42022","${Carriers}"
"LA","70112","${Carriers}"
"MA","01810","${Carriers}"
"MD","21401","${Carriers}"
"ME","48005","${Carriers}"
"MI","49908","${Carriers}"
"MN","55057","${Carriers}"
"MO","64476","${Carriers}"
"MS","38720","${Carriers}"
"MT","59724","${Carriers}"
"NC","27239","${Carriers}"
"ND","58563","${Carriers}"
"NE","68046","${Carriers}"
"NH","03241","${Carriers}"
"NJ","10964","${Carriers}"
"NM","87008","${Carriers}"
"NV","89101","${Carriers}"
"NY","10001","${Carriers}"
"OH","45201","${Carriers}"
"OK","73717","${Carriers}"
"OR","97710","${Carriers}"
"PA","19019","${Carriers}"
"RI","02806","${Carriers}"
"SC","29601","${Carriers}"
"SD","57424","${Carriers}"
"TN","37016","${Carriers}"
"TX","75901","${Carriers}"
"UT","84101","${Carriers}"
"VA","23002","${Carriers}"
"VT","24540","${Carriers}"
"WA","98101","${Carriers}"
"WI","54401","${Carriers}"
"WV","24851","${Carriers}"
"WY","82212","${Carriers}"
