"ENV","url","city_name","state","state1","zipcode","quote","detail","apply","banner","ifp_docker"
"www","http://www.healthpocket.com/","Anchorage","Alaska","AK","99504","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Birmingham","Alabama","AL","35215","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Little Rock","Arkansas","AR","72209","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Phoenix","Arizona","AZ","85364","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Los Angeles","California","CA","90011","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Denver","Colorado","CO","80219","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Bridgeport","Connecticut","CT","06606","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Wilmington","Delaware","DE","19805","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Jacksonville","Florida","FL","33186","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Atlanta","Georgia","GA","30044","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Honolulu","Hawaii","HI","96818","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Des Moines","Iowa","IA","50317","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Boise","Idaho","ID","83709","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Chicago","Illinois","IL","60629","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Indianapolis","Indiana","IN","46227","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Wichita","Kansas","KS","66062","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Louisville","Kentucky","KY","40214","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","New Orleans","Louisiana","LA","70816","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Boston","Massachusetts","MA","02128","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Baltimore","Maryland","MD","21215","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Portland","Maine","ME","04401","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Detroit","Michigan","MI","48228","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Minneapolis","Minnesota","MN","55106","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Kansas City","Missouri","MO","63129","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Jackson","Mississippi","MS","39503","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Billings","Montana","MT","59102","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Charlotte","North Carolina","NC","28269","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Fargo","North Dakota","ND","58103","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Omaha","Nebraska","NE","68104","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Manchester","New Hampshire","NH","03103","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Newark","New Jersey","NJ","08701","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Albuquerque","New Mexico","NM","87121","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Las Vegas","Nevada","NV","89110","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","New York","New York","NY","11226","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Columbus","Ohio","OH","43228","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Oklahoma City","Oklahoma","OK","73160","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Portland","Oregon","OR","97229","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Philadelphia","Pennsylvania","PA","19120","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Providence","Rhode Island","RI","02909","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Columbia","South Carolina","SC","29223","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Sioux Falls","South Dakota","SD","57106","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Memphis","Tennessee","TN","37013","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Houston","Texas","TX","79936","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Salt Lake City","Utah","UT","84120","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Virginia Beach","Virginia","VA","23464","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"##www","http://www.healthpocket.com/","Burlington","Vermont","VT","05401","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Seattle","Washington","WA","98115","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Milwaukee","Wisconsin","WI","53215","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Charleston","West Virginia","WV","25302","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
"www","http://www.healthpocket.com/","Cheyenne","Wyoming","WY","82001","(800) 471-6156","(800) 520-0394","(800) 562-9619","(800) 798-8321","(800) 597-5140"
