id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-076-0,DC,56935,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD466_UA_Select_SummaryOfBenefits_076_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD486_UA_Select_SummaryOfBenefits_076_Spanish_2015.pdf,${enlink},${splink}
S5755-110-0,DC,56935,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD469_UA_Essential_SummaryOfBenefits_110_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD489_UA_Essential_SummaryOfBenefits_110_Spanish_2015.pdf,${enlink},${splink}
S5755-008-0,DC,56935,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD475_UA_Enhanced_SummaryOfBenefits_008_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD495_UA_Enhanced_SummaryOfBenefits_008_Spanish_2015.pdf,${enlink},${splink}
H0901-004-0,DC,56935,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/dc-hmo-sb-dc-2015.pdf,,${enlink},${splink}
H5521-015-0,DC,56935,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/dc-ppo-sb-dc-2015.pdf,,${enlink},${splink}
S5810-175-0,DC,56935,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/de-dc-md-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-039-0,DC,56935,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/de-dc-md-pdp-sb-2015.pdf,,${enlink},${splink}
S5660-208-0,DC,56935,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-107-0,DC,56935,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
H2150-009-0,DC,56935,PARTCRX,AB) (Cost,KaiserPermanente,Kaiser Permanente,Kaiser Permanente Medicare Plus Std w/Part D (AB) (Cost),https://medicare.kaiserpermanente.org/medicare/pdfs/2015/mid_SB_standard_high_PartD_AB.pdf,,${enlink},${splink}
H2150-002-0,DC,56935,PARTCRX,AB) (Cost,KaiserPermanente,Kaiser Permanente,Kaiser Permanente Medicare Plus High w/Part D (AB) (Cost),https://medicare.kaiserpermanente.org/medicare/pdfs/2015/mid_SB_standard_high_PartD_AB.pdf,,${enlink},${splink}
H2150-029-0,DC,56935,PARTCRX,B) (Cost,KaiserPermanente,Kaiser Permanente,Kaiser Permanente Medicare Plus Std w/Part D (B) (Cost),https://medicare.kaiserpermanente.org/medicare/pdfs/2015/mid_SB_standard_PartD_BOnly.pdf,,${enlink},${splink}
S9579-037-0,DC,56935,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Choice (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Choice1_2015.pdf?_ga=1.64953711.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Choice1_2015.pdf?_ga=1.64953711.1994257148.1413786205,${enlink},${splink}
S9579-004-0,DC,56935,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Classic (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_4_planInfo/pdf/S9579_Summary_of_Benefits_Classic4_2015.pdf?_ga=1.70645968.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_4_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Classic4_2015.pdf?_ga=1.70645968.1994257148.1413786205,${enlink},${splink}
S5768-164-0,DC,56935,PARTD,PDP,FirstHealth,First Health,First Health Part D Premier Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/premier-plus-member-benefits/A300605,,${enlink},${splink}
S5768-128-0,DC,56935,PARTD,PDP,FirstHealth,First Health,First Health Part D Value Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/value-plus-member-benefits/A300577,,${enlink},${splink}
