id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-096-0,IA,52555,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD466_UA_Select_SummaryOfBenefits_096_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD486_UA_Select_SummaryOfBenefits_096_Spanish_2015.pdf,${enlink},${splink}
S5755-129-0,IA,52555,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD469_UA_Essential_SummaryOfBenefits_129_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD489_UA_Essential_SummaryOfBenefits_129_Spanish_2015.pdf,${enlink},${splink}
S5755-028-0,IA,52555,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD479_UA_Enhanced_SummaryOfBenefits_028_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD499_UA_Enhanced_SummaryOfBenefits_028_Spanish_2015.pdf,${enlink},${splink}
S5810-195-0,IA,52555,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/sb-multistate-premier-2015.pdf,,${enlink},${splink}
S5810-059-0,IA,52555,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/sb-multistate-premier-2015.pdf,,${enlink},${splink}
S5660-195-0,IA,52555,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-127-0,IA,52555,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
H0084-001-0,IA,50048,PARTCRX,PPO,CareImprovementPlus,Care Improvement Plus,Care Improvement Plus Medicare Advantage (PPO),https://www.careimprovementplus.com/pdf/2015/SOB/SOB_ILINIANENMNCTX_H0084_001_MAPD_LPPO.pdf,https://www.careimprovementplus.com/pdf/2015/SOB/SOB_ILINIANENMNCTX_H0084_001_MAPD_LPPO_sp.pdf,${enlink},${splink}
H0084-004-0,IA,50048,PARTCRX,PPO SNP,CareImprovementPlus,Care Improvement Plus,Care Improvement Plus Gold Rx (PPO SNP),https://www.careimprovementplus.com/pdf/2015/SOB/SOB_ILINIANENMNCTX_H0084_004_Gold_LPPO.pdf,https://www.careimprovementplus.com/pdf/2015/SOB/SOB_ILINIANENMNCTX_H0084_004_Gold_LPPO_sp.pdf,${enlink},${splink}
H0084-014-0,IA,50048,PARTCRX,PPO SNP,CareImprovementPlus,Care Improvement Plus,Care Improvement Plus Silver Rx (PPO SNP),https://www.careimprovementplus.com/pdf/2015/SOB/SOB_INIA_H0084_014_Silver_LPPO.pdf,https://www.careimprovementplus.com/pdf/2015/SOB/SOB_INIA_H0084_014_Silver_LPPO_sp.pdf,${enlink},${splink}
H2802-001-0,IA,51501,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete (HMO),https://www.uhcmedicaresolutions.com/alphadog/AAEX15HM3576674_001,,${enlink},${splink}
H4456-025-0,IA,52555,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete (HMO),https://www.uhcmedicaresolutions.com/alphadog/AAIA15HM3576738_001,,${enlink},${splink}
S9579-057-0,IA,52555,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Choice (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Choice1_2015.pdf?_ga=1.266205135.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Choice1_2015.pdf?_ga=1.266205135.1994257148.1413786205,${enlink},${splink}
S9579-024-0,IA,52555,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Classic (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_2_planInfo/pdf/S9579_Summary_of_Benefits_Classic2_2015.pdf?_ga=1.170286304.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_2_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Classic2_2015.pdf?_ga=1.170286304.1994257148.1413786205,${enlink},${splink}
H1608-007-0,IA,50028,PARTCRX,PPO,CoventryHealthCare,Coventry Health Care,Coventry Total Care (PPO),http://coventry-medicare.coventryhealthcare.com/A300492,,${enlink},${splink}
H1608-008-0,IA,51018,PARTCRX,PPO,CoventryHealthCare,Coventry Health Care,Coventry Total Care (PPO),http://coventry-medicare.coventryhealthcare.com/A300493,,${enlink},${splink}
H1608-001-0,IA,50048,PARTCRX,PPO,CoventryHealthCare,Coventry Health Care,Coventry Advantra Platinum (PPO),http://coventry-medicare.coventryhealthcare.com/A300490,,${enlink},${splink}
H1609-010-0,IA,51501,PARTCRX,HMO,CoventryHealthCare,Coventry Health Care,Coventry Total Care (HMO),http://coventry-medicare.coventryhealthcare.com/A300495,,${enlink},${splink}
H1609-009-0,IA,50063,PARTCRX,HMO,CoventryHealthCare,Coventry Health Care,Coventry Total Care (HMO),http://coventry-medicare.coventryhealthcare.com/A300496,,${enlink},${splink}
H1609-001-0,IA,50048,PARTCRX,HMO,CoventryHealthCare,Coventry Health Care,Coventry Advantra Silver (HMO),http://coventry-medicare.coventryhealthcare.com/A300494,,${enlink},${splink}
S5768-190-0,IA,52555,PARTD,PDP,FirstHealth,First Health,First Health Part D Premier Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/premier-plus-member-benefits/A300631,,${enlink},${splink}
S5768-148-0,IA,52555,PARTD,PDP,FirstHealth,First Health,First Health Part D Value Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/value-plus-member-benefits/A300597,,${enlink},${splink}
