id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-086-0,KY,40041,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD378_UA_Select_SummaryOfBenefits_086_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD483_UA_Select_SummaryOfBenefits_086_Spanish_2015.pdf,${enlink},${splink}
S5755-120-0,KY,40041,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD470_UA_Essential_SummaryOfBenefits_120_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD490_UA_Essential_SummaryOfBenefits_120_Spanish_2015.pdf,${enlink},${splink}
S5755-018-0,KY,40041,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD474_UA_Enhanced_SummaryOfBenefits_018_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD494_UA_Enhanced_SummaryOfBenefits_018_Spanish_2015.pdf,${enlink},${splink}
H3931-090-0,KY,41080,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Select Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/ky-hmo-sb-ky-2015.pdf,,${enlink},${splink}
H5521-020-0,KY,41080,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/ky-ppo-sb-ky-2015.pdf,,${enlink},${splink}
H5521-085-0,KY,41080,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Value Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/ky-ppo-sb-ky-2015.pdf,,${enlink},${splink}
S5810-185-0,KY,40041,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/in-ky-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-049-0,KY,40041,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/in-ky-pdp-sb-2015.pdf,,${enlink},${splink}
S5596-017-0,KY,40041,PARTD,PDP,AnthemBCBS,Anthem BCBS,Anthem Blue MedicareRx Standard (PDP),http://www.anthem.com/shop/content/olspublic/pdf/2015/english/PDP_Kit_Blue_MedRx_IN_KY.pdf,,${enlink},${splink}
S5596-018-0,KY,40041,PARTD,PDP,AnthemBCBS,Anthem BCBS,Anthem Blue MedicareRx Plus (PDP),http://www.anthem.com/shop/content/olspublic/pdf/2015/english/PDP_Kit_Blue_MedRx_IN_KY.pdf,,${enlink},${splink}
