id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-094-0,OK,73719,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD378_UA_Select_SummaryOfBenefits_094_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD483_UA_Select_SummaryOfBenefits_094_Spanish_2015.pdf,${enlink},${splink}
S5755-127-0,OK,73719,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD470_UA_Essential_SummaryOfBenefits_127_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD490_UA_Essential_SummaryOfBenefits_127_Spanish_2015.pdf,${enlink},${splink}
S5755-026-0,OK,73719,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD474_UA_Enhanced_SummaryOfBenefits_026_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD494_UA_Enhanced_SummaryOfBenefits_026_Spanish_2015.pdf,${enlink},${splink}
H5832-001-0,OK,73003,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Value Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/ok-hmo-sb-ok-2015.pdf,,${enlink},${splink}
S5810-193-0,OK,73719,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/ok-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-057-0,OK,73719,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/ok-pdp-sb-2015.pdf,,${enlink},${splink}
H3708-001-0,OK,73438,PARTCRX,HMO SNP,Universal American,Universal American,Tribute (HMO SNP),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/Tribute_SummaryofBenefits.pdf,,${enlink},${splink}
S5660-214-0,OK,73719,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-125-0,OK,73719,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
H3749-001-0,OK,73099,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete SecureHorizons Plan 1 (HMO),https://www.uhcmedicaresolutions.com/alphadog/AAOK15HM3576711_001,,${enlink},${splink}
H3749-017-0,OK,74030,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete SecureHorizons (HMO),https://www.uhcmedicaresolutions.com/alphadog/AAOK15HM3576712_002,,${enlink},${splink}
H3749-018-0,OK,73099,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete SecureHorizons Plan 2 (HMO),https://www.uhcmedicaresolutions.com/alphadog/AAOK15HM3576713_001,,${enlink},${splink}
S9579-055-0,OK,73719,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Choice (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Choice1_2015.pdf?_ga=1.265106383.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Choice1_2015.pdf?_ga=1.265106383.1994257148.1413786205,${enlink},${splink}
S9579-022-0,OK,73719,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Classic (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_1_planInfo/pdf/S9579_Summary_of_Benefits_Classic1_2015.pdf?_ga=1.266146895.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Classic1_2015.pdf?_ga=1.60832876.1994257148.1413786205,${enlink},${splink}
H2672-012-0,OK,73099,PARTCRX,HMO,CoventryHealthCare,Coventry Health Care,Coventry Advantage (HMO),http://coventry-medicare.coventryhealthcare.com/advantra-kansas/member-benefits/A300515,http://coventry-medicare.coventryhealthcare.com/advantra-kansas/member-benefits/A304359,${enlink},${splink}
H5509-017-0,OK,73099,PARTCRX,PPO,CoventryHealthCare,Coventry Health Care,Coventry Freedom (PPO),http://coventry-medicare.coventryhealthcare.com/advantra-kansas/member-benefits/A300543,,${enlink},${splink}
S5768-180-0,OK,73719,PARTD,PDP,FirstHealth,First Health,First Health Part D Premier Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/premier-plus-member-benefits/A300621,,${enlink},${splink}
S5768-146-0,OK,73719,PARTD,PDP,FirstHealth,First Health,First Health Part D Value Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/value-plus-member-benefits/A300595,,${enlink},${splink}
