id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
H3931-055-0,PA,18036,PARTC,HMO,Aetna_Med,Aetna,Aetna Medicare Basic Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-bucks-chester-delaware-2015.pdf,,${enlink},${splink}
H3931-004-0,PA,18036,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-bucks-chester-delaware-2015.pdf,,${enlink},${splink}
H3931-064-0,PA,18036,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-bucks-chester-delaware-2015.pdf,,${enlink},${splink}
H3931-070-0,PA,17026,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-central-northeast-2015.pdf,,${enlink},${splink}
H3931-054-0,PA,17026,PARTC,HMO,Aetna_Med,Aetna,Aetna Medicare Basic Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-central-northeast-2015.pdf,,${enlink},${splink}
H3931-091-0,PA,17001,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare PinnacleHealth Prime Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-cumberland-dauphin-2015.pdf,,${enlink},${splink}
H3931-084-0,PA,18054,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-montgomery-2015.pdf,,${enlink},${splink}
H3931-083-0,PA,18054,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-montgomery-2015.pdf,,${enlink},${splink}
H3931-065-0,PA,19128,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-philadelphia-2015.pdf,,${enlink},${splink}
H3931-058-0,PA,19128,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pa-hmo-sb-philadelphia-2015.pdf,,${enlink},${splink}
