id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-077-0,WV,26755,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD466_UA_Select_SummaryOfBenefits_096_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD486_UA_Select_SummaryOfBenefits_096_Spanish_2015.pdf,${enlink},${splink}
S5755-111-0,WV,26755,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD469_UA_Essential_SummaryOfBenefits_129_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD489_UA_Essential_SummaryOfBenefits_129_Spanish_2015.pdf,${enlink},${splink}
S5755-009-0,WV,26755,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD479_UA_Enhanced_SummaryOfBenefits_028_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD499_UA_Enhanced_SummaryOfBenefits_028_Spanish_2015.pdf,${enlink},${splink}
S5810-176-0,WV,26755,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/pa-wv-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-040-0,WV,26755,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/pa-wv-pdp-sb-2015.pdf,,${enlink},${splink}
S5660-176-0,WV,26755,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-108-0,WV,26755,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S9579-038-0,WV,26755,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Choice (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Choice1_2015.pdf?_ga=1.72293587.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Choice1_2015.pdf?_ga=1.72293587.1994257148.1413786205,${enlink},${splink}
S9579-005-0,WV,26755,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Classic (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_1_planInfo/pdf/S9579_Summary_of_Benefits_Classic1_2015.pdf?_ga=1.62347628.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Classic1_2015.pdf?_ga=1.62347628.1994257148.1413786205,${enlink},${splink}
H1692-002-0,WV,25047,PARTCRX,HMO,CoventryHealthcareofWestVirginia_WV,Coventry Health Care of West Virginia,Advantra Silver (HMO),http://coventry-medicare.coventryhealthcare.com/A300498,,${enlink},${splink}
H1692-001-0,WV,25443,PARTCRX,HMO,CoventryHealthcareofWestVirginia_WV,Coventry Health Care of West Virginia,Advantra Silver (HMO),http://coventry-medicare.coventryhealthcare.com/A300497,,${enlink},${splink}
H8980-005-0,WV,25443,PARTCRX,PPO,CoventryHealthCare,Coventry Health Care,Advantra Gold (PPO),http://coventry-medicare.coventryhealthcare.com/A300568,,${enlink},${splink}
H8980-006-0,WV,25047,PARTCRX,PPO,CoventryHealthCare,Coventry Health Care,Advantra Gold (PPO),http://coventry-medicare.coventryhealthcare.com/A300569,,${enlink},${splink}
S5768-165-0,WV,26755,PARTD,PDP,FirstHealth,First Health,First Health Part D Premier Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/premier-plus-member-benefits/A300631,,${enlink},${splink}
S5768-129-0,WV,26755,PARTD,PDP,FirstHealth,First Health,First Health Part D Value Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/value-plus-member-benefits/A300597,,${enlink},${splink}
