id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-081-0,GA,30002,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD378_UA_Select_SummaryOfBenefits_081_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD483_UA_Select_SummaryOfBenefits_081_Spanish_2015.pdf,${enlink},${splink}
S5755-115-0,GA,30002,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD470_UA_Essential_SummaryOfBenefits_115_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD490_UA_Essential_SummaryOfBenefits_115_Spanish_2015.pdf,${enlink},${splink}
S5755-013-0,GA,30002,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD474_UA_Enhanced_SummaryOfBenefits_013_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD494_UA_Enhanced_SummaryOfBenefits_013_Spanish_2015.pdf,${enlink},${splink}
H1109-005-0,GA,30189,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Select Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/ga-hmo-sb-atlanta-surrounding-2015.pdf,,${enlink},${splink}
S5810-180-0,GA,30002,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/ga-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-044-0,GA,30002,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/ga-pdp-sb-2015.pdf,,${enlink},${splink}
S5596-009-0,GA,30002,PARTD,PDP,AnthemBCBS,Anthem BCBS,BCBSGa Blue MedicareRx Standard (PDP),http://www.bcbsga.com/shop/content/olspublic/pdf/2015/english/PDP_Kit_Blue_MedRx_GA.pdf,,${enlink},${splink}
S5596-010-0,GA,30002,PARTD,PDP,AnthemBCBS,Anthem BCBS,BCBSGa Blue MedicareRx Plus (PDP),http://www.bcbsga.com/shop/content/olspublic/pdf/2015/english/PDP_Kit_Blue_MedRx_GA.pdf,,${enlink},${splink}
S5596-011-0,GA,30002,PARTD,PDP,AnthemBCBS,Anthem BCBS,BCBSGa Blue MedicareRx Premier (PDP),http://www.bcbsga.com/shop/content/olspublic/pdf/2015/english/PDP_Kit_Blue_MedRx_GA.pdf,,${enlink},${splink}
S5660-180-0,GA,30002,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
