id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-102-0,ID,59847,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD379_UA_Select_SummaryOfBenefits_102_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD484_UA_Select_SummaryOfBenefits_102_Spanish_2015.pdf,${enlink},${splink}
S5755-034-0,ID,59847,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD481_UA_Enhanced_SummaryOfBenefits_034_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD501_UA_Enhanced_SummaryOfBenefits_034_Spanish_2015.pdf,${enlink},${splink}
H3864-024-0,ID,83616,PARTCRX,HMO-POS,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Choice Rx 24 (HMO-POS),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsChoiceRx24.pdf,,${enlink},${splink}
H3864-016-0,ID,83616,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 16 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx16.pdf,,${enlink},${splink}
H3864-021-0,ID,83202,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 21 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx20_EssentialsRx21.pdf,,${enlink},${splink}
H3864-020-0,ID,83803,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 20 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx20_EssentialsRx21.pdf,,${enlink},${splink}
H4754-010-0,ID,83202,PARTC,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer 10 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_Explorer10_Explorer12.pdf,,${enlink},${splink}
H4754-012-0,ID,83803,PARTC,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer 12 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_Explorer10_Explorer12.pdf,,${enlink},${splink}
H4754-006-0,ID,83547,PARTC,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer 6 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_Explorer6.pdf,,${enlink},${splink}
H4754-009-0,ID,83202,PARTCRX,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer Rx 9 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_ExplorerRx9_ExplorerRx11.pdf,,${enlink},${splink}
H4754-011-0,ID,83803,PARTCRX,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer Rx 11 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_ExplorerRx9_ExplorerRx11.pdf,,${enlink},${splink}
H3864-023-0,ID,83616,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare MyCare Rx 23 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_MyCareRx23.pdf,,${enlink},${splink}
S5810-201-0,ID,59847,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/id-ut-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-065-0,ID,59847,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/id-ut-pdp-sb-2015.pdf,,${enlink},${splink}
S5660-216-0,ID,59847,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-133-0,ID,59847,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
H1969-002-0,ID,83616,PARTCRX,HMO,RegenceBlueShieldofIdaho,Regence Blue Shield of Idaho,Regence Blue MedAdvantage HMO (HMO),https://www.regence.com/documents/10192/1954828/Summary+of+benefits+-+Blue+MedAdvantage+%28HMO%29/2e7d25ee-6774-4c36-a8f2-de07e7b8f5ec,,${enlink},${splink}
