id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
H3597-002-0,ME,4223,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/me-hmo-sb-cumberland-york-androscoggin-kennebec-sagadahoc-2015.pdf,,${enlink},${splink}
H3597-001-0,ME,4223,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Value Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/me-hmo-sb-cumberland-york-androscoggin-kennebec-sagadahoc-2015.pdf,,${enlink},${splink}
H6786-002-0,ME,4223,PARTCRX,PPO,AnthemBCBS,Anthem BCBS,Anthem Medicare Preferred Premier (PPO),http://www.anthem.com/shop/content/olspublic/pdf/2015/english/PDP_Kit_Blue_MedRx_ME_NH.pdf,,${enlink},${splink}
H2816-001-0,ME,4003,PARTC,PFFS,UniversalAmerican,Universal American,Today's Options Premier 100 (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K01.pdf,,${enlink},${splink}
H2816-007-0,ME,4003,PARTC,PFFS,UniversalAmerican,Universal American,Today's Options Premier 200 (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K01.pdf,,${enlink},${splink}
H2816-013-0,ME,4003,PARTCRX,PFFS,UniversalAmerican,Universal American,Today's Options Premier Plus 150A (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K01.pdf,,${enlink},${splink}
H2816-019-0,ME,4003,PARTCRX,PFFS,UniversalAmerican,Universal American,Today's Options Premier Plus 350B (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K01.pdf,,${enlink},${splink}
H2816-002-0,ME,4223,PARTC,PFFS,UniversalAmerican,Universal American,Today's Options Premier 100 (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K02.pdf,,${enlink},${splink}
H2816-008-0,ME,4223,PARTC,PFFS,UniversalAmerican,Universal American,Today's Options Premier 200 (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K02.pdf,,${enlink},${splink}
H2816-027-0,ME,4223,PARTCRX,PFFS,UniversalAmerican,Universal American,Today's Options Premier Plus 150A (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K02.pdf,,${enlink},${splink}
H2816-021-0,ME,4223,PARTCRX,PFFS,UniversalAmerican,Universal American,Today's Options Premier Plus 350B (PFFS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_NPFFS_SummaryofBenefits_K02.pdf,,${enlink},${splink}
H2775-082-0,ME,4003,PARTCRX,PPO,UniversalAmerican,Universal American,Today's Options Advantage Plus 150A (PPO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_PPO_SummaryofBenefits_K31.pdf,,${enlink},${splink}
H2775-088-0,ME,4003,PARTCRX,PPO,UniversalAmerican,Universal American,Today's Options Advantage Plus 350B (PPO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_PPO_SummaryofBenefits_K31.pdf,,${enlink},${splink}
H2775-095-0,ME,4223,PARTC,PPO,UniversalAmerican,Universal American,Today's Options Advantage 200 (PPO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_PPO_SummaryofBenefits_K32.pdf,,${enlink},${splink}
H2775-083-0,ME,4223,PARTCRX,PPO,UniversalAmerican,Universal American,Today's Options Advantage Plus 150A (PPO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_PPO_SummaryofBenefits_K32.pdf,,${enlink},${splink}
H2775-089-0,ME,4223,PARTCRX,PPO,UniversalAmerican,Universal American,Today's Options Advantage Plus 350B (PPO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TO_PPO_SummaryofBenefits_K32.pdf,,${enlink},${splink}
H8432-002-0,ME,4223,PARTCRX,HMO SNP,AnthemBCBS,Anthem BCBS,Anthem Dual Advantage (HMO SNP),https://www.anthem.com/shop/content/olspublic/pdf/2015/english/HMO_Kit_Md_Bl_Sel_ME.pdf,,${enlink},${splink}
H8432-003-0,ME,4223,PARTCRX,HMO,AnthemBCBS,Anthem BCBS,Anthem MediBlue Select (HMO),https://www.anthem.com/shop/content/olspublic/pdf/2015/english/HMO_Kit_Md_Bl_Sel_ME.pdf,,${enlink},${splink}
