id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-007-0,NJ,7420,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD475_UA_Enhanced_SummaryOfBenefits_007_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD495_UA_Enhanced_SummaryOfBenefits_007_Spanish_2015.pdf,${enlink},${splink}
H3152-077-0,NJ,8007,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Value Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-hmo-sb-camden-gloucester-2015.pdf,,${enlink},${splink}
H3152-045-0,NJ,10964,PARTC,HMO,Aetna_Med,Aetna,Aetna Medicare Basic Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-hmo-sb-northern-nj-2015.pdf,,${enlink},${splink}
H3152-048-0,NJ,10964,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-hmo-sb-northern-nj-2015.pdf,,${enlink},${splink}
H3152-080-0,NJ,10964,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare NNJ Prime Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-hmo-sb-northern-nj-2015.pdf,,${enlink},${splink}
H3152-046-0,NJ,8701,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Value Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-hmo-sb-ocean-2015.pdf,,${enlink},${splink}
H3152-022-0,NJ,8310,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-hmo-sb-southern-nj-2015.pdf,,${enlink},${splink}
H5521-037-0,NJ,7003,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Standard Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/nj-ppo-sb-essex-hudson-middlesex-morris-ocean-passaic-2015.pdf,,${enlink},${splink}
S5810-174-0,NJ,7420,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/nj-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-038-0,NJ,7420,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/nj-pdp-sb-2015.pdf,,${enlink},${splink}
S5660-207-0,NJ,7420,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-106-0,NJ,7420,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
H3107-008-0,NJ,10964,PARTC,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete Essential (HMO),https://www.uhcmedicaresolutions.com/alphadog/AANJ15HM3576679_001,,${enlink},${splink}
H0913-002-0,NJ,7003,PARTCRX,HMO,WellCare,WellCare,WellCare Value (HMO),https://www.wellcare.com/WCAssets/corporate/assets/2015/nj_care_essex_value_sb_eng_2015.pdf,,${enlink},${splink}
H0913-012-0,NJ,8820,PARTCRX,HMO,WellCare,WellCare,WellCare Value (HMO),https://www.wellcare.com/WCAssets/corporate/assets/2015/nj_care_middlesex_value_sb_eng_2015.pdf,,${enlink},${splink}
S9579-036-0,NJ,7420,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Choice (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Choice1_2015.pdf?_ga=1.161306493.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI02_1_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Choice1_2015.pdf?_ga=1.161306493.1994257148.1413786205,${enlink},${splink}
S9579-003-0,NJ,7420,PARTD,PDP,StonebridgeLife,Stonebridge Life,Transamerica MedicareRx Classic (PDP),https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_3_planInfo/pdf/S9579_Summary_of_Benefits_Classic3_2015.pdf?_ga=1.266679118.1994257148.1413786205,https://members.transamericamedicarerx.com/brandcontentprovider/YOURPLAN/MGI01_3_planInfo/pdf/S9579_Summary_of_Benefits_Spanish_Classic3_2015.pdf?_ga=1.266679118.1994257148.1413786205,${enlink},${splink}
S5768-187-0,NJ,7420,PARTD,PDP,FirstHealth,First Health,First Health Part D Premier Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/premier-plus-member-benefits/A300628,,${enlink},${splink}
S5768-127-0,NJ,7420,PARTD,PDP,FirstHealth,First Health,First Health Part D Value Plus (PDP),http://coventry-medicare.coventryhealthcare.com/first-health-part-d/member-benefits/value-plus-member-benefits/A300576,,${enlink},${splink}
