id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-101-0,OR,97901,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD378_UA_Select_SummaryOfBenefits_101_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD483_UA_Select_SummaryOfBenefits_101_Spanish_2015.pdf,${enlink},${splink}
S5755-033-0,OR,97901,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD482_UA_Enhanced_SummaryOfBenefits_033_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD502_UA_Enhanced_SummaryOfBenefits_033_Spanish_2015.pdf,${enlink},${splink}
H3864-002-0,OR,97756,PARTC,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials 2 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_Essentials2.pdf,,${enlink},${splink}
H3864-025-0,OR,97756,PARTCRX,HMO-POS,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Choice Rx 25 (HMO-POS),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsChoiceRx25.pdf,,${enlink},${splink}
H3864-015-0,OR,97402,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 15 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx15.pdf,,${enlink},${splink}
H3864-019-0,OR,97407,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 19 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx19.pdf,,${enlink},${splink}
H3864-014-0,OR,97756,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 14 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx6_EssentialsRx14.pdf,,${enlink},${splink}
H3864-006-0,OR,97756,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Essentials Rx 6 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_EssentialsRx6_EssentialsRx14.pdf,,${enlink},${splink}
H4754-008-0,OR,97407,PARTC,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer 8 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_Explorer8.pdf,,${enlink},${splink}
H4754-004-0,OR,97402,PARTCRX,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer Rx 4 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_ExplorerRx4.pdf,,${enlink},${splink}
H4754-007-0,OR,97407,PARTCRX,PPO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare Explorer Rx 7 (PPO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_ExplorerRx7.pdf,,${enlink},${splink}
H3864-022-0,OR,97002,PARTCRX,HMO,PacificSourceHealthPlans,PacificSource Health Plans,PacificSource Medicare MyCare Rx 22 (HMO),http://medicare.pacificsource.com/Library/General/SummaryOfBenefits/2015_MyCareRx22.pdf,,${enlink},${splink}
S5810-200-0,OR,97901,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/or-wa-pdp-sb-2015.pdf,,${enlink},${splink}
