id,state,zip,Plan Category,Plan Type,HP ID (may be blank),Company Name (normalized),Plan Name,ex_enlink,ex_splink,enlink,splink
S5755-093-0,TX,75007,PARTD,PDP,UnitedAmerican,United American,United American - Select (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD466_UA_Select_SummaryOfBenefits_093_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD486_UA_Select_SummaryOfBenefits_093_Spanish_2015.pdf,${enlink},${splink}
S5755-126-0,TX,75007,PARTD,PDP,UnitedAmerican,United American,United American - Essential (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD469_UA_Essential_SummaryOfBenefits_126_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD489_UA_Essential_SummaryOfBenefits_126_Spanish_2015.pdf,${enlink},${splink}
S5755-025-0,TX,75007,PARTD,PDP,UnitedAmerican,United American,United American - Enhanced (PDP),http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/English/FD475_UA_Enhanced_SummaryOfBenefits_025_2015.pdf,http://www.uamedicarepartd.com/PDF/Summary_Of_Benefits/Spanish/FD495_UA_Enhanced_SummaryOfBenefits_025_Spanish_2015.pdf,${enlink},${splink}
S5810-192-0,TX,75007,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Premier (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/tx-pdp-sb-2015.pdf,,${enlink},${splink}
S5810-056-0,TX,75007,PARTD,PDP,Aetna_Med,Aetna,Aetna Medicare Rx Saver (PDP),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/pdp/tx-pdp-sb-2015.pdf,,${enlink},${splink}
H4523-005-0,TX,75009,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-hmo-sb-collin-dallas-denton-2015.pdf,,${enlink},${splink}
H4523-021-0,TX,75009,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Prime Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-hmo-sb-collin-dallas-denton-2015.pdf,,${enlink},${splink}
H4523-015-0,TX,77047,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Premier Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-hmo-sb-harris-montgomery-2015.pdf,,${enlink},${splink}
H4523-018-0,TX,77047,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Select Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-hmo-sb-southeast-tx-2015.pdf,,${enlink},${splink}
H4523-016-0,TX,78050,PARTCRX,HMO,Aetna_Med,Aetna,Aetna Medicare Select Plan (HMO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-hmo-sb-south-tx-2015.pdf,,${enlink},${splink}
H5521-059-0,TX,75009,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Choice Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-ppo-sb-collin-dallas-denton-2015.pdf,,${enlink},${splink}
H5521-093-0,TX,75009,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Value Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-ppo-sb-collin-dallas-denton-2015.pdf,,${enlink},${splink}
H5521-094-0,TX,77047,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Value Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-ppo-sb-harris-montgomery-2015.pdf,,${enlink},${splink}
H5521-060-0,TX,77047,PARTCRX,PPO,Aetna_Med,Aetna,Aetna Medicare Choice Plan (PPO),http://www.aetnamedicare.com/documents/individual/2015/summaryofbenefits/tx-ppo-sb-harris-montgomery-2015.pdf,,${enlink},${splink}
H5656-001-0,TX,75009,PARTCRX,HMO,Universal American,Universal American,TexanPlus Classic (HMO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TP_NTX_SummaryofBenefits_HMO.pdf,,${enlink},${splink}
H4506-003-0,TX,77426,PARTCRX,HMO,Universal American,Universal American,TexanPlus Classic (HMO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TP_SETX_SummaryofBenefits_HMO.pdf,,${enlink},${splink}
H4506-010-0,TX,77426,PARTC,HMO,UniversalAmerican,Universal American,TexanPlus Value (HMO),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TP_SETX_SummaryofBenefits_HMO.pdf,,${enlink},${splink}
H4506-029-0,TX,77426,PARTCRX,HMO-POS,Universal American,Universal American,TexanPlus Choice (HMO-POS),http://www.universal-american-medicare.com/sharedpdfs/medicare/2015/TP_SETXPOS_SummaryofBenefits.pdf,,${enlink},${splink}
S5660-192-0,TX,75007,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Choice (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
S5660-124-0,TX,75007,PARTD,PDP,MedcoMedicare,Medco Medicare,Express Scripts Medicare - Value (PDP),https://host1.medcohealth.com/art/medicare15/pdf/15sob.pdf,,${enlink},${splink}
H4514-007-0,TX,77426,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete (HMO),https://www.uhcmedicaresolutions.com/alphadog/AATX15HM3576740_001,,${enlink},${splink}
H4590-010-0,TX,78050,PARTCRX,HMO,UnitedHealthcare_Med,UnitedHealthcare,AARP MedicareComplete SecureHorizons (HMO),https://www.uhcmedicaresolutions.com/alphadog/AATX15HM3576754_001,,${enlink},${splink}
