NPI,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Add,LNL,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number
1730378225,AMERICAN CURRENT CARE PA PC,,,113 BUTLER AVENUE,,LANCASTER,PA,176016313,"113 BUTLER AVENUE,LANCASTER,PA 17601",${LNL},7173913087,7173916752
1164548582,"URGENT CARE CENTERS, INC.",IMMEDIATE CARE - BOYKINS,3,18213 VIRGINIA AVE,,BOYKINS,VA,238272744,"18213 VIRGINIA AVE,BOYKINS,VA 23827",${LNL},7576540244,
1790937803,"DENG FAMILY MEDICINE CENTER, PC",,,2801 S DOUGLAS BLVD,,MIDWEST CITY,OK,731307194,"2801 S DOUGLAS BLVD,MIDWEST CITY,OK 73130",${LNL},4057373278,4057370240
1992142277,WEST SIDE HEALTH CARE DISTRICT,,,100 E NORTH ST,,TAFT,CA,932683606,"100 E NORTH ST,TAFT,CA 93268",${LNL},6617651935,6617651928
1598065500,"RAPID MEDICINE, PLLC",,,1381 WHITE PLAINS RD,,BRONX,NY,104624101,"1381 WHITE PLAINS RD,BRONX,NY 10462",${LNL},6318405347,
1518380914,AMC/NORTH FULTON URGENT CARE 1 LLC,MEDPOST URGENT CARE - STONE MOUNTAIN,3,1230 S HAIRSTON RD,SUITE 30,STONE MOUNTAIN,GA,300882761,"1230 S HAIRSTON RD,SUITE 30,STONE MOUNTAIN,GA 30088",${LNL},4042929034,4042929038
1447673868,ARIZONA PROACTIVE HEALTH AND MEDICINE,,,81 W GUADALUPE RD,,GILBERT,AZ,852333321,"81 W GUADALUPE RD,GILBERT,AZ 85233",${LNL},4803664496,8004480729
1689972739,"NASON MEDICAL CENTER IV, LLC",,,319 FOLLY RD,,CHARLESTON,SC,294122518,"319 FOLLY RD,CHARLESTON,SC 29412",${LNL},8433003500,8435524121
1013106624,PHYTCARE LLC,NEXTCARE INC SOLE MBR,5,811 US HIGHWAY 70 W,,GARNER,NC,275292541,"811 US HIGHWAY 70 W,GARNER,NC 27529",${LNL},9197795010,9197711640
1629267240,"SHAWN MACDONALD, M.D., P.A.",SHERMAN MEDICAL,3,2500 N TRAVIS ST,,SHERMAN,TX,750922521,"2500 N TRAVIS ST,SHERMAN,TX 75092",${LNL},9038688900,9038688990
1831388404,AMERICAN CURRENT CARE PA,,,3145 S ASHLAND AVE,SUITE 110,CHICAGO,IL,606086251,"3145 S ASHLAND AVE,SUITE 110,CHICAGO,IL 60608",${LNL},7732545516,7732545518
1285823856,AMERICAN CURRENT CARE PA,,,4201 WEST 36TH STREET,,CHICAGO,IL,606323800,"4201 WEST 36TH STREET,CHICAGO,IL 60632",${LNL},7739277438,7739277524
1841501319,"SPECIALTY URGENT CARE, LP",,,57402 29 PALMS HWY,SUITE 1,YUCCA VALLEY,CA,922842950,"57402 29 PALMS HWY,SUITE 1,YUCCA VALLEY,CA 92284",${LNL},7603652520,7603652524
1063793685,"MEDEXPRESS URGENT CARE, PC - PENNSYLVANIA",MEDEXPRESS URGENT CARE - LATROBE,3,3876 ROUTE 30,,LATROBE,PA,156505256,"3876 ROUTE 30,LATROBE,PA 15650",${LNL},7245375064,7245375260
1245482363,URGENT CARE PHYSICIAN MEDICAL GROUP,,,1303 S LINDEN RD,SUITE F,FLINT,MI,485323442,"1303 S LINDEN RD,SUITE F,FLINT,MI 48532",${LNL},8102300800,
1598934895,HEALTH CARE TODAY ASSOCIATES PA,SCARBOROUGH HEALTH CARE,3,69 US ROUTE 1,6 SCIENCE PARK ROAD,SCARBOROUGH,ME,40749374,"69 US ROUTE 1,6 SCIENCE PARK ROAD,SCARBOROUGH,ME 4074",${LNL},2078838100,2078838756
1104968023,URGENT CARE MEDICAL CENTERS,URGENT CARE FAMILY MEDICINE,3,8644 E BRAINERD RD STE B2-3,,CHATTANOOGA,TN,374218325,"8644 E BRAINERD RD STE B2-3,CHATTANOOGA,TN 37421",${LNL},4236486677,
1477746311,BATTLE CREEK HEALTH SYSTEM,BATTLE CREEK HEALTH SYTEM -URGENT CARE,3,5352 BECKLEY RD,SUITE B,BATTLE CREEK,MI,490154155,"5352 BECKLEY RD,SUITE B,BATTLE CREEK,MI 49015",${LNL},2699796888,
1346486255,PHYTCARE LLC,NEXTCARE INC SOLE MBR,5,419 EARL RD,,SHELBY,NC,281506700,"419 EARL RD,SHELBY,NC 28150",${LNL},7044810555,
1508002411,PHYTCARE LLC,NEXTCARE INC SOLE MBR,5,3680 ROBINWOOD RD,,GASTONIA,NC,280541676,"3680 ROBINWOOD RD,GASTONIA,NC 28054",${LNL},7048969701,7048532704
1881916989,"LAKE REGION URGENT CARE, PC",,,103 SPRUCE ST,SUITE 201,HAWLEY,PA,184281149,"103 SPRUCE ST,SUITE 201,HAWLEY,PA 18428",${LNL},5703904545,5703904546
1649454034,TRI STATE URGENT CARE LLC,,,3699 ALEXANDRIA PK,,COLD SPRING,KY,41076,"3699 ALEXANDRIA PK,COLD SPRING,KY 41076",${LNL},8594428444,8594428777
1649536749,"NG MEDICAL GROUP, P.C.",RUSSELL MEDICAL,3,4335 BROWNS BRIDGE RD,SUITE 1 & 2,CUMMING,GA,300414554,"4335 BROWNS BRIDGE RD,SUITE 1 & 2,CUMMING,GA 30041",${LNL},7707715050,7707715051
1154753614,IMMEDIATE CARE OF OKLAHOMA LLC,,,805 W COVELL RD,SUITE 200,EDMOND,OK,730032176,"805 W COVELL RD,SUITE 200,EDMOND,OK 73003",${LNL},4052165373,4052165017
1114040797,BEST CARE MEDICAL CENTER P C,,,1265 E 33RD ST,,EDMOND,OK,73013,"1265 E 33RD ST,EDMOND,OK 73013",${LNL},4052165565,4052165707
1326344938,"THE BERKELEY CLINIC, INC",HOLLYWOOD WALK-IN CLINIC,3,6430 SELMA AVE,,LOS ANGELES,CA,900287311,"6430 SELMA AVE,LOS ANGELES,CA 90028",${LNL},3238484522,
1750410007,"AMERICAN FAMILY MEDICAL GROUP, INC.",,,2414 S FAIRVIEW ST STE 112,,SANTA ANA,CA,927045345,"2414 S FAIRVIEW ST STE 112,SANTA ANA,CA 92704",${LNL},7146410121,7146412054
1609195254,"CITY MEDICAL OF UPPER EAST SIDE, PLLC",PREMIER CARE MEDICAL OF WEST ISLIP,5,1345 RXR PLZ,,UNIONDALE,NY,115561301,"1345 RXR PLZ,UNIONDALE,NY 11556",${LNL},5167834600,5167834612
1669756250,URGENT CARE ASSOCIATES P C,BLOOMFIELD URGENT MEDICAL CARE,3,43141 WOODWARD AVE,,BLOOMFIELD,MI,483025005,"43141 WOODWARD AVE,BLOOMFIELD,MI 48302",${LNL},2483330333,2483333919
1184065609,"CENTRO DE SERVICIOS PRIMARIOS DE SALUD,INC.",,,3 CALLE ANTONIO ALCAZAR,,FLORIDA,PR,6500368,"3 CALLE ANTONIO ALCAZAR,FLORIDA,PR 650",${LNL},7878222170,7878222454
