NPI,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Add,LNL,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number
1841597234,ROANOKE URGENT CARE ASSOCIATES PC,UCARE HEALTH CENTER,3,3960 VALLEY GATEWAY BLVD,SUITE A-1,ROANOKE,VA,240126858,"3960 VALLEY GATEWAY BLVD,SUITE A-1,ROANOKE,VA 24012",${LNL},5409770291,5409770291
1689804049,PEDIATRIC URGENT CARE,,,19875 SOUTHWEST FWY,STE 100,SUGAR LAND,TX,774796534,"19875 SOUTHWEST FWY,STE 100,SUGAR LAND,TX 77479",${LNL},2815452323,2812322317
1619200318,BILOXI URGENT CARE CENTER LLC,,,201 LAMEUSE ST,,BILOXI,MS,395303107,"201 LAMEUSE ST,BILOXI,MS 39530",${LNL},2283747888,
1073846770,PASCAGOULA URGENT CARE CENTER LLC,,,4305 DENNY AVE,,PASCAGOULA,MS,395815509,"4305 DENNY AVE,PASCAGOULA,MS 39581",${LNL},2287622044,
1609053461,THOMAS URGENT CARE SYSTEMS LLC,THOMAS WESTCHASE URGENT CARE,3,12021 WHITMARSH LN,,TAMPA,FL,336261737,"12021 WHITMARSH LN,TAMPA,FL 33626",${LNL},8137492800,8138558362
1083875314,"FAMILY URGENT CARE OF COMMERCE, PLLC",,,2900 UNION LAKE RD,STE 130,COMMERCE TOWNSHIP,MI,483823500,"2900 UNION LAKE RD,STE 130,COMMERCE TOWNSHIP,MI 48382",${LNL},2483639075,2483639087
1457655474,"MEDCARE URGENT CARE CENTER, W. ASHLEY LLC",,,1850 SAM RITTENBERG BLVD,SUITE B,CHARLESTON,SC,294074936,"1850 SAM RITTENBERG BLVD,SUITE B,CHARLESTON,SC 29407",${LNL},8435765246,8435765243
1750507158,FAMILY URGENT CARE PLLC,,,17014 W BELL RD,SUITE 100,SURPRISE,AZ,85374,"17014 W BELL RD,SUITE 100,SURPRISE,AZ 85374",${LNL},6232149188,6232149836
1114142627,FIRST CHOICE URGENT CARE,,,615 S HUGHES BLVD,,ELIZABETH CITY,NC,279094785,"615 S HUGHES BLVD,ELIZABETH CITY,NC 27909",${LNL},2523383111,2523333774
1861679722,AMERICAN CURRENT CARE PA,,,2455 NORTH 124TH STREET,,BROOKFIELD,WI,530054630,"2455 NORTH 124TH STREET,BROOKFIELD,WI 53005",${LNL},2627829326,2627829353
1710120795,"DUKE UNIVERSITY AFFILIATED PHYSICIANS, INC.",DUKE URGENT CARE BRIER CREEK,3,10211 ALM STREET,,RALEIGH,NC,27617,"10211 ALM STREET,RALEIGH,NC 27617",${LNL},9192064889,
1538307574,HEALTHY URGENT CARE PLLC,,,30488 MILFORD RD,,NEW HUDSON,MI,481658583,"30488 MILFORD RD,NEW HUDSON,MI 48165",${LNL},1111111111,1111111111
1942574504,HOLBROOK FAMILY URGENT CARE P.L.L.C,,,2930 HOLBROOK ST,,HAMTRAMCK,MI,482123512,"2930 HOLBROOK ST,HAMTRAMCK,MI 48212",${LNL},3139896491,
