"city_name","state","state1","zipcode"
"Birmingham","Alabama","AL","35215"
"Anchorage","Alaska","AK","99504"
"Little Rock","Arkansas","AR","72209"
"Phoenix","Arizona","AZ","85364"
"Los Angeles","California","CA","90011"
"Denver","Colorado","CO","80219"
"Bridgeport","Connecticut","CT","06606"
"Chevy Chase","District Of Columbia","DC","20015"
"Wilmington","Delaware","DE","19805"
"Jacksonville","Florida","FL","33186"
"Atlanta","Georgia","GA","30044"
"Honolulu","Hawaii","HI","96818"
"Des Moines","Iowa","IA","50317"
"Boise","Idaho","ID","83709"
"Chicago","Illinois","IL","60629"
"Indianapolis","Indiana","IN","46227"
"Wichita","Kansas","KS","66062"
"Louisville","Kentucky","KY","40214"
"New Orleans","Louisiana","LA","70816"
"Boston","Massachusetts","MA","02128"
"Baltimore","Maryland","MD","21215"
"Portland","Maine","ME","04401"
"Detroit","Michigan","MI","48228"
"Minneapolis","Minnesota","MN","55106"
"Kansas City","Missouri","MO","63129"
"Jackson","Mississippi","MS","39503"
"Billings","Montana","MT","59102"
"Charlotte","North Carolina","NC","28269"
"Fargo","North Dakota","ND","58103"
"Omaha","Nebraska","NE","68104"
"Manchester","New Hampshire","NH","03103"
"Newark","New Jersey","NJ","08701"
"Albuquerque","New Mexico","NM","87121"
"Las Vegas","Nevada","NV","89110"
"New York","New York","NY","11226"
"Columbus","Ohio","OH","43228"
"Oklahoma City","Oklahoma","OK","73160"
"Portland","Oregon","OR","97229"
"Philadelphia","Pennsylvania","PA","19120"
"Providence","Rhode Island","RI","02909"
"Columbia","South Carolina","SC","29223"
"Sioux Falls","South Dakota","SD","57106"
"Memphis","Tennessee","TN","37013"
"Houston","Texas","TX","79936"
"Salt Lake City","Utah","UT","84120"
"Virginia Beach","Virginia","VA","23464"
"Burlington","Vermont","VT","05401"
"Seattle","Washington","WA","98115"
"Milwaukee","Wisconsin","WI","53215"
"Charleston","West Virginia","WV","25302"
"Cheyenne","Wyoming","WY","82001"
