ENV,url,state,city_name,zipcode,city,mc_city,mc_banner,banner,quote,detail,apply,doc,mc_doc,st,seo,dt,ihc,mc_docker,ifp_docker,dental,sbg,ifp_banner
www,http://www.healthpocket.com/?affiliate=bankrate ,California,Los Angeles,90001,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618
www,http://www.healthpocket.com/?affiliate=bankrate ,Alaska,Anchorage,99504,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618,(800) 630-5618
www,http://www.healthpocket.com/?affiliate=healthinsurance_org_prod ,California,Los Angeles,90001,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265
www,http://www.healthpocket.com/?affiliate=healthinsurance_org_prod ,Alaska,Anchorage,99504,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265,(800) 413-6265
www,http://www.healthpocket.com/?affiliate=healthcare_com_prod,California,Los Angeles,90001,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917
www,http://www.healthpocket.com/?affiliate=healthcare_com_prod,Alaska,Anchorage,99504,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917,(800) 983-6917
www,http://www.healthpocket.com/?affiliate=healthplans_com_prod ,California,Los Angeles,90001,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593
www,http://www.healthpocket.com/?affiliate=healthplans_com_prod ,Alaska,Anchorage,99504,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593,(800) 984-6593
www,http://www.healthpocket.com/?affiliate=ca_foundation_prod,California,Los Angeles,90001,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417
www,http://www.healthpocket.com/?affiliate=ca_foundation_prod,Alaska,Anchorage,99504,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417,(800) 985-3417
www,http://www.healthpocket.com/?affiliate=healthplaneducation_com_prod,California,Los Angeles,90001,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594
www,http://www.healthpocket.com/?affiliate=healthplaneducation_com_prod,Alaska,Anchorage,99504,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594,(800) 987-0594
