"state","zipcode","carrierid","productId"
"AL","35215","Freedom Platinum","Freedom Platinum"
"##AK","99504","aspen",""
"##AR","72209","aspen","aspen-plan-3"
"##AZ","85364","aspen","aspen-plan-3"
"##CA","90011","aspen",""
"##CO","80219","aspen",""
"##CT","06606","aspen",""
"##DE","19805","aspen","aspen-plan-3"
"##DC","20015","aspen",""
"##FL","33186","aspen","aspen-plan-3"
"##GA","30044","aspen","aspen-plan-3"
"##HI","96818","aspen",""
"##IA","50317","aspen",""
"##ID","83709","aspen",""
"##IL","60629","aspen","aspen-plan-3"
"##IN","46227","aspen",""
"##KS","66062","aspen",""
"##KY","40214","aspen","aspen-plan-3"
"##LA","70816","aspen","aspen-plan-3"
"##MA","02128","aspen",""
"##MD","21215","aspen","aspen-plan-3"
"##ME","04401","aspen",""
"##MI","48228","aspen",""
"##MN","55106","aspen",""
"##MO","63129","aspen",""
"##MS","39503","aspen","aspen-plan-3"
"##MT","59102","aspen",""
"##NC","28269","aspen",""
"##ND","58103","aspen",""
"##NE","68104","aspen",""
"##NH","03103","aspen",""
"##NJ","08701","aspen",""
"##NM","87121","aspen",""
"##NV","89110","aspen","aspen-plan-3"
"##NY","11226","aspen",""
"##OH","43228","aspen",""
"##OK","73160","aspen","aspen-plan-3"
"##OR","97229","aspen",""
"##PA","19120","aspen",""
"##RI","02909","aspen",""
"##SC","29223","aspen","aspen-plan-3"
"##SD","57106","aspen",""
"##TN","37230","aspen",""
"##TX","79936","aspen","aspen-plan-3"
"##UT","84120","aspen",""
"##VA","23464","aspen","aspen-plan-3"
"##VT","05401","aspen",""
"##WA","98115","aspen",""
"##WI","53215","aspen","aspen-plan-3"
"##WV","25302","aspen","aspen-plan-3"
"##WY","82001","aspen",""
