"zip","state","plan_Name","DOB","mon","uri"
"35215","al","Elite 10K","03/06/1980","${mon}","${uri}"
"##99504","ak","Elite 10K","03/06/1980","${mon}","${uri}"
"##72209","ar","Elite 10K","03/06/1980","${mon}","${uri}"
"85364","az","Elite 10K","03/06/1980","${mon}","${uri}"
"90011","ca","Elite 10K","03/06/1980","${mon}","${uri}"
"80219","co","Elite 10K","03/06/1980","${mon}","${uri}"
"06606","ct","Elite 10K","03/06/1980","${mon}","${uri}"
"19805","de","Elite 10K","03/06/1980","${mon}","${uri}"
"20015","dc","Elite 10K","03/06/1980","${mon}","${uri}"
"33186","fl","Elite 25K","03/06/1980","${mon}","${uri}"
"30044","ga","Elite 25K","03/06/1980","${mon}","${uri}"
"96818","hi","Elite 25K","03/06/1980","${mon}","${uri}"
"50317","ia","Elite 25K","03/06/1980","${mon}","${uri}"
"83709","id","Elite 25K","03/06/1980","${mon}","${uri}"
"60629","il","Elite 25K","03/06/1980","${mon}","${uri}"
"46227","in","Elite 25K","03/06/1980","${mon}","${uri}"
"##66062","ks","Elite 25K","03/06/1980","${mon}","${uri}"
"40214","ky","Elite 25K","03/06/1980","${mon}","${uri}"
"70816","la","Elite 25K","03/06/1980","${mon}","${uri}"
"02128","ma","Elite 25K","03/06/1980","${mon}","${uri}"
"##21215","md","Elite 25K","03/06/1980","${mon}","${uri}"
"##04401","me","Elite 25K","03/06/1980","${mon}","${uri}"
"48228","mi","Elite 25K","03/06/1980","${mon}","${uri}"
"##55106","mn","Elite 10K","03/06/1980","${mon}","${uri}"
"##63129","mo","Elite 10K","03/06/1980","${mon}","${uri}"
"39503","ms","Elite 10K","03/06/1980","${mon}","${uri}"
"##59102","mt","Elite 10K","03/06/1980","${mon}","${uri}"
"##28269","nc","Elite 10K","03/06/1980","${mon}","${uri}"
"58103","nd","Elite 10K","03/06/1980","${mon}","${uri}"
"##68104","ne","Elite 10K","03/06/1980","${mon}","${uri}"
"##03103","nh","Elite 10K","03/06/1980","${mon}","${uri}"
"08701","nj","Elite 10K","03/06/1980","${mon}","${uri}"
"87121","nm","Elite 10K","03/06/1980","${mon}","${uri}"
"89110","nv","Elite 10K","03/06/1980","${mon}","${uri}"
"##11226","ny","Elite 25K","03/06/1980","${mon}","${uri}"
"##43228","oh","Elite 25K","03/06/1980","${mon}","${uri}"
"73160","ok","Elite 10K","03/06/1980","${mon}","${uri}"
"97229","or","Elite 10K","03/06/1980","${mon}","${uri}"
"19120","pa","Elite 10K","03/06/1980","${mon}","${uri}"
"02909","ri","Elite 25K","03/06/1980","${mon}","${uri}"
"29223","sc","Elite 25K","03/06/1980","${mon}","${uri}"
"##57106","sd","Elite 10K","03/06/1980","${mon}","${uri}"
"37013","tn","Elite 25K","03/06/1980","${mon}","${uri}"
"79936","tx","Elite 25K","03/06/1980","${mon}","${uri}"
"##84120","ut","Elite 25K","03/06/1980","${mon}","${uri}"
"##23464","va","Elite 25K","03/06/1980","${mon}","${uri}"
"05401","vt","Elite 25K","03/06/1980","${mon}","${uri}"
"##98115","wa","Elite 25K","03/06/1980","${mon}","${uri}"
"53215","wi","Elite 25K","03/06/1980","${mon}","${uri}"
"##25302","wv","Elite 25K","03/06/1980","${mon}","${uri}"
"82001","wy","Elite 25K","03/06/1980","${mon}","${uri}"
