"zip","plan_Name","DOB","state","mon","conf_mon","uri"
"35215","Starter","03/06/1980","al","${mon}","${conf_mon}","${uri}"
"##99504","","03/06/1980","ak","${mon}","${conf_mon}","${uri}"
"##72209","","03/06/1980","ar","${mon}","${conf_mon}","${uri}"
"85364","Starter","03/06/1980","az","${mon}","${conf_mon}","${uri}"
"90011","Starter","03/06/1980","ca","${mon}","${conf_mon}","${uri}"
"80219","Starter","03/06/1980","co","${mon}","${conf_mon}","${uri}"
"06606","Starter","03/06/1980","ct","${mon}","${conf_mon}","${uri}"
"19805","Basic","03/06/1980","de","${mon}","${conf_mon}","${uri}"
"20015","Basic","03/06/1980","dc","${mon}","${conf_mon}","${uri}"
"33186","Basic","03/06/1980","fl","${mon}","${conf_mon}","${uri}"
"30044","Basic","03/06/1980","ga","${mon}","${conf_mon}","${uri}"
"96818","Basic","03/06/1980","hi","${mon}","${conf_mon}","${uri}"
"50317","Basic","03/06/1980","ia","${mon}","${conf_mon}","${uri}"
"83709","Basic","03/06/1980","id","${mon}","${conf_mon}","${uri}"
"60629","Basic","03/06/1980","il","${mon}","${conf_mon}","${uri}"
"46227","Plus","03/06/1980","in","${mon}","${conf_mon}","${uri}"
"##66062","","03/06/1980","ks","${mon}","${conf_mon}","${uri}"
"40214","Plus","03/06/1980","ky","${mon}","${conf_mon}","${uri}"
"70816","Plus","03/06/1980","la","${mon}","${conf_mon}","${uri}"
"02128","Plus","03/06/1980","ma","${mon}","${conf_mon}","${uri}"
"##21215","","03/06/1980","md","${mon}","${conf_mon}","${uri}"
"##4401","","03/06/1980","me","${mon}","${conf_mon}","${uri}"
"48228","Plus","03/06/1980","mi","${mon}","${conf_mon}","${uri}"
"##55106","","03/06/1980","mn","${mon}","${conf_mon}","${uri}"
"##63129","","03/06/1980","mo","${mon}","${conf_mon}","${uri}"
"39503","Premier","03/06/1980","ms","${mon}","${conf_mon}","${uri}"
"##59102","","03/06/1980","mt","${mon}","${conf_mon}","${uri}"
"##28269","","03/06/1980","nc","${mon}","${conf_mon}","${uri}"
"58103","Premier","03/06/1980","nd","${mon}","${conf_mon}","${uri}"
"##68104","","03/06/1980","ne","${mon}","${conf_mon}","${uri}"
"03103","Premier","03/06/1980","nh","${mon}","${conf_mon}","${uri}"
"08701","Premier","03/06/1980","nj","${mon}","${conf_mon}","${uri}"
"87121","Premier","03/06/1980","nm","${mon}","${conf_mon}","${uri}"
"89110","Premier","03/06/1980","nv","${mon}","${conf_mon}","${uri}"
"##11226","","03/06/1980","ny","${mon}","${conf_mon}","${uri}"
"##43228","","03/06/1980","oh","${mon}","${conf_mon}","${uri}"
"73160","Premier","03/06/1980","ok","${mon}","${conf_mon}","${uri}"
"##97229","","03/06/1980","or","${mon}","${conf_mon}","${uri}"
"19120","Elite","03/06/1980","pa","${mon}","${conf_mon}","${uri}"
"02909","Elite","03/06/1980","ri","${mon}","${conf_mon}","${uri}"
"29223","Elite","03/06/1980","sc","${mon}","${conf_mon}","${uri}"
"##57106","","03/06/1980","sd","${mon}","${conf_mon}","${uri}"
"37013","Elite","03/06/1980","tn","${mon}","${conf_mon}","${uri}"
"##79936","","03/06/1980","tx","${mon}","${conf_mon}","${uri}"
"##84120","","03/06/1980","ut","${mon}","${conf_mon}","${uri}"
"##23464","","03/06/1980","va","${mon}","${conf_mon}","${uri}"
"05401","Elite","03/06/1980","vt","${mon}","${conf_mon}","${uri}"
"##98115","","03/06/1980","wa","${mon}","${conf_mon}","${uri}"
"53215","Elite","03/06/1980","wi","${mon}","${conf_mon}","${uri}"
"25302","Elite","03/06/1980","wv","${mon}","${conf_mon}","${uri}"
"82001","Elite","03/06/1980","wy","${mon}","${conf_mon}","${uri}"
