"zip","plan_Name","DOB","state","mon","uri"
"35215","Platinum 75","03/06/1980","al","${mon}","${uri}"
"##99504","","03/06/1980","ak","${mon}","${uri}"
"##72209","","03/06/1980","ar","${mon}",""
"##85364","","03/06/1980","az","${mon}",""
"##90011","","03/06/1980","ca","${mon}",""
"##80219","","03/06/1980","co","${mon}",""
"##06606","","03/06/1980","ct","${mon}",""
"##19805","","03/06/1980","de","${mon}",""
"##20015","","03/06/1980","dc","${mon}",""
"##33186","","03/06/1980","fl","${mon}",""
"##30044","","03/06/1980","ga","${mon}",""
"##96818","","03/06/1980","hi","${mon}",""
"##50317","","03/06/1980","ia","${mon}",""
"##83709","","03/06/1980","id","${mon}",""
"60629","Platinum 50","03/06/1980","il","${mon}","${uri}"
"##46227","","03/06/1980","in","${mon}",""
"##66062","","03/06/1980","ks","${mon}",""
"##40214","","03/06/1980","ky","${mon}",""
"##70816","","03/06/1980","la","${mon}",""
"##02128","","03/06/1980","ma","${mon}",""
"##21215","","03/06/1980","md","${mon}",""
"##4401","","03/06/1980","me","${mon}",""
"##48228","","03/06/1980","mi","${mon}",""
"##55106","","03/06/1980","mn","${mon}",""
"##63129","","03/06/1980","mo","${mon}",""
"##39503","","03/06/1980","ms","${mon}",""
"##59102","","03/06/1980","mt","${mon}",""
"##28269","","03/06/1980","nc","${mon}",""
"##58103","","03/06/1980","nd","${mon}",""
"##68104","","03/06/1980","ne","${mon}",""
"##03103","","03/06/1980","nh","${mon}",""
"##08701","","03/06/1980","nj","${mon}",""
"##87121","","03/06/1980","nm","${mon}",""
"##89110","","03/06/1980","nv","${mon}",""
"##11226","","03/06/1980","ny","${mon}",""
"##43228","","03/06/1980","oh","${mon}",""
"##73160","","03/06/1980","ok","${mon}",""
"##97229","","03/06/1980","or","${mon}",""
"##19120","","03/06/1980","pa","${mon}",""
"##02909","","03/06/1980","ri","${mon}",""
"##29223","","03/06/1980","sc","${mon}",""
"##57106","","03/06/1980","sd","${mon}",""
"##37013","","03/06/1980","tn","${mon}",""
"##79936","","03/06/1980","tx","${mon}",""
"##84120","","03/06/1980","ut","${mon}",""
"##23464","","03/06/1980","va","${mon}",""
"##05401","","03/06/1980","vt","${mon}",""
"##98115","","03/06/1980","wa","${mon}",""
"##53215","","03/06/1980","wi","${mon}",""
"##25302","","03/06/1980","wv","${mon}",""
"##82001","","03/06/1980","wy","${mon}",""
